biome,mean,sum,count
tropical moist forest,0.20394736842105263,31,152
boreal forest / taiga,0.17857142857142858,15,84
temperate / continental forest,0.16049382716049382,13,81
Mediterranean woodland & scrub,0.07692307692307693,5,65
tropical savanna / dry forest,0.06666666666666667,11,165
unknown,0.04411764705882353,3,68
grassland / steppe (semi-arid),0.03896103896103896,3,77
tundra,0.037037037037037035,1,27
temperate forest,0.027210884353741496,4,147
desert & xeric shrubland,0.016666666666666666,1,60
