biome,n_motifs_in_biome,mean_sim_own_motifs_to_ALL_imgs,mean_sim_other_motifs_to_ALL_imgs,text_side_advantage
Tropical & Subtropical Coniferous Forests,561,-0.03398282453417778,-0.03749490901827812,0.003512084484100342
Tropical & Subtropical Moist Broadleaf Forests,1685,-0.03598209097981453,-0.038153402507305145,0.002171311527490616
Montane Grasslands & Shrublands,947,-0.035428427159786224,-0.03748667240142822,0.0020582452416419983
Mangroves,242,-0.03531539440155029,-0.03687353432178497,0.0015581399202346802
"Tropical & Subtropical Grasslands, Savannas & Shrublands",1148,-0.035882797092199326,-0.037410467863082886,0.0015276707708835602
Tropical & Subtropical Dry Broadleaf Forests,924,-0.03630078211426735,-0.03696630522608757,0.000665523111820221
Deserts & Xeric Shrublands,1548,-0.036837462335824966,-0.036557357758283615,-0.0002801045775413513
Boreal Forests/Taiga,1448,-0.036950234323740005,-0.03643614053726196,-0.0005140937864780426
Temperate Broadleaf & Mixed Forests,1903,-0.03690027445554733,-0.03622608259320259,-0.0006741918623447418
"Temperate Grasslands, Savannas & Shrublands",1548,-0.03714989498257637,-0.036081328988075256,-0.001068565994501114
Tundra,1017,-0.03750867769122124,-0.036212243139743805,-0.0012964345514774323
Flooded Grasslands & Savannas,602,-0.037949807941913605,-0.03635111078619957,-0.001598697155714035
"Mediterranean Forests, Woodlands & Scrub",1146,-0.03775052726268768,-0.0358988419175148,-0.001851685345172882
Temperate Conifer Forests,1456,-0.037536121904850006,-0.03566252440214157,-0.001873597502708435
N/A,173,-0.04039213806390762,-0.0364612452685833,-0.0039308927953243256
