biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",1902,16,421,0.0028345625614747405,0.0
Tropical & Subtropical Moist Broadleaf Forests,14379,166,271,0.0024560351739637554,0.0
Montane Grasslands & Shrublands,1438,5,432,0.0023751104017719626,0.055
Temperate Broadleaf & Mixed Forests,5309,116,321,0.0021131949324626476,0.0
Boreal Forests/Taiga,2702,49,388,0.0020935424545314163,0.001
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,67,370,0.0014422053936868906,0.003
"Temperate Grasslands, Savannas & Shrublands",3049,33,404,0.0013444116048049182,0.004
Tundra,2001,27,410,0.0010092559095937759,0.177
Deserts & Xeric Shrublands,3711,16,421,0.0009130127727985382,0.08
Tropical & Subtropical Coniferous Forests,1109,5,432,0.0007400661124847829,0.265
Temperate Conifer Forests,3418,45,392,-0.000204113544896245,0.614
