taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.0007420554757118225,0.054
all,Deserts & Xeric Shrublands,3711,20,527,-4.182569682598114e-05,0.507
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,-8.65827314555645e-05,0.587
all,Montane Grasslands & Shrublands,1438,5,542,0.0009142761118710041,0.202
all,Temperate Broadleaf & Mixed Forests,5309,154,393,-0.00010668300092220306,0.668
all,Temperate Conifer Forests,3418,53,494,-8.251797407865524e-05,0.608
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.0003728070296347141,0.1
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.0006313131598290056,0.173
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,-0.0005051828920841217,0.949
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.00045043358113616705,0.008
all,Tundra,2001,43,504,0.0004933075979351997,0.258
Plantae,Boreal Forests/Taiga,1575,78,469,0.0008114511147141457,0.11
Plantae,Deserts & Xeric Shrublands,1269,20,527,-0.0018897329573519528,0.94
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,-0.0007729828357696533,0.769
Plantae,Montane Grasslands & Shrublands,531,5,542,0.0008670855313539505,0.354
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,-0.0004464210942387581,0.805
Plantae,Temperate Conifer Forests,1838,53,494,4.670582711696625e-06,0.488
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,0.001546461135149002,0.052
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,0.0005526766180992126,0.391
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,2.422695979475975e-05,0.485
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.0012604892253875732,0.003
Plantae,Tundra,1262,43,504,-2.265162765979767e-05,0.516
Fungi,Boreal Forests/Taiga,77,78,469,0.0010110177099704742,0.165
Fungi,Deserts & Xeric Shrublands,8,20,527,-0.00015374831855297089,0.528
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,21,526,-0.0006100218743085861,0.634
Fungi,Temperate Broadleaf & Mixed Forests,188,154,393,-0.0009642690420150757,0.894
Fungi,Temperate Conifer Forests,161,53,494,-0.001428048126399517,0.904
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,43,504,0.001484433189034462,0.127
Fungi,Tropical & Subtropical Coniferous Forests,27,5,542,-0.009717626497149467,0.996
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.0008005984127521515,0.221
Fungi,Tropical & Subtropical Moist Broadleaf Forests,95,196,351,0.000492253340780735,0.219
Fungi,Tundra,62,43,504,0.0007636044174432755,0.236
Animalia,Boreal Forests/Taiga,11,78,469,-0.0007753678219160065,0.754
Animalia,Deserts & Xeric Shrublands,20,20,527,0.001861179480329156,0.093
Animalia,"Mediterranean Forests, Woodlands & Scrub",34,21,526,-0.0002955146483145654,0.608
Animalia,Temperate Broadleaf & Mixed Forests,32,154,393,-0.00032610539346933365,0.709
Animalia,Temperate Conifer Forests,97,53,494,-0.000546921044588089,0.723
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,43,504,0.0009860871359705925,0.2
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22,82,465,0.00026697292923927307,0.368
Animalia,Tropical & Subtropical Moist Broadleaf Forests,382,196,351,0.00014680545427836478,0.397
Animalia,Tundra,20,43,504,0.00045193592086434364,0.347
Mammalia,Boreal Forests/Taiga,116,78,469,0.0004029541742056608,0.342
Mammalia,Deserts & Xeric Shrublands,183,20,527,0.0015711132436990738,0.2
Mammalia,"Mediterranean Forests, Woodlands & Scrub",52,21,526,0.0005354667082428932,0.378
