taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.0006014415994286537,0.023
all,Deserts & Xeric Shrublands,3711,20,527,0.00014068111340748146,0.332
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.00019088201224803925,0.298
all,Montane Grasslands & Shrublands,1438,5,542,-0.00012253562454134226,0.579
all,Temperate Broadleaf & Mixed Forests,5309,154,393,0.0003526243381202221,0.004
all,Temperate Conifer Forests,3418,53,494,-0.0008490607724525034,0.997
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.0003156700113322586,0.053
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.00028871255926787853,0.222
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,5.9262849390506744e-05,0.367
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.00028111133724451065,0.02
all,Tundra,2001,43,504,0.000828874297440052,0.036
Plantae,Boreal Forests/Taiga,1575,78,469,0.0006714724004268646,0.091
Plantae,Deserts & Xeric Shrublands,1269,20,527,5.43864443898201e-05,0.493
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,0.0009854743257164955,0.091
Plantae,Montane Grasslands & Shrublands,531,5,542,0.0008414210751652718,0.293
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,0.00031401729211211205,0.214
Plantae,Temperate Conifer Forests,1838,53,494,-0.0016878671012818813,1.0
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,-0.0001131235621869564,0.584
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,-0.0014987187460064888,0.853
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,0.00038010627031326294,0.175
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.001266032224521041,0.0
Plantae,Tundra,1262,43,504,0.0005897460505366325,0.181
Fungi,Boreal Forests/Taiga,77,78,469,-0.001148531213402748,0.955
Fungi,Deserts & Xeric Shrublands,8,20,527,0.0009541725739836693,0.269
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,21,526,-0.0008195065893232822,0.729
Fungi,Temperate Broadleaf & Mixed Forests,188,154,393,0.00018159812316298485,0.355
Fungi,Temperate Conifer Forests,161,53,494,-0.001869482730398886,0.98
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,43,504,0.0011120487470179796,0.145
Fungi,Tropical & Subtropical Coniferous Forests,27,5,542,-0.001209855079650879,0.689
