taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.002558998530730605,0.0
all,Deserts & Xeric Shrublands,3711,20,527,0.0009310225723311305,0.104
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.0014941451081540436,0.015
all,Montane Grasslands & Shrublands,1438,5,542,0.0016385307826567441,0.184
all,Temperate Broadleaf & Mixed Forests,5309,154,393,0.0012540703210106585,0.0
all,Temperate Conifer Forests,3418,53,494,0.0014866073324810714,0.031
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00047615269431844354,0.168
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.0008007807191461325,0.276
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.0005405121482908726,0.17
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.002207688638009131,0.0
all,Tundra,2001,43,504,5.732267163693905e-05,0.473
Plantae,Boreal Forests/Taiga,1575,78,469,0.001998600666411221,0.082
Plantae,Deserts & Xeric Shrublands,1269,20,527,0.000366816995665431,0.455
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,0.0031527040991932154,0.089
Plantae,Montane Grasslands & Shrublands,531,5,542,-0.005555194336920977,0.861
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,0.0012985683279111981,0.115
Plantae,Temperate Conifer Forests,1838,53,494,0.0018791216134559363,0.126
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,-0.0006917474092915654,0.648
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,0.0016960767097771168,0.337
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,0.0009766663424670696,0.222
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.004905816866084933,0.0
Plantae,Tundra,1262,43,504,-0.004345782166637946,0.994
Fungi,Boreal Forests/Taiga,77,78,469,0.00031385687179863453,0.4
Fungi,Deserts & Xeric Shrublands,8,20,527,-0.0024738609790802,0.782
