image,text,naming,controls,mean_delta,n_biomes,n_sig_05,n_sig_001,n_positive,max_delta
iNat,oneliners,default,none,0.0003647553988100133,14,8,6,12,0.0012543906923383
iNat,oneliners,default,resid,0.00041800692997635516,14,8,6,12,0.0012972526019439
iNat,abstracts,default,resid,0.0005777215535219858,14,12,10,14,0.001248185406439
iNat,oneliners,hypernym v2,resid,0.0003118856038781429,14,8,4,12,0.0010763825848698
iNat,oneliners,hypernym v3,resid,0.0002321307238162045,14,6,3,10,0.0009702665265649
YFCC-filt,oneliners,default,resid,0.0008659468190411621,14,10,8,10,0.0024432120844721
YFCC-filt,abstracts,default,resid,0.0008403375478727089,14,10,9,11,0.0023604510352015
YFCC-filt,oneliners,hypernym v2,resid,0.0008161908606000499,14,9,7,11,0.0025867372751235
YFCC-filt,oneliners,hypernym v3,resid,0.0006081685008081703,14,8,5,11,0.0021445360034704
combined,oneliners,default,resid,0.0005099057504723947,14,9,6,12,0.00136638735421
combined,abstracts,default,resid,0.0006142971459276905,14,12,10,14,0.0013485243543982
combined,oneliners,hypernym v2,resid,0.00039620395857902136,14,8,4,12,0.0011545219458639
combined,oneliners,hypernym v3,resid,0.0003042595469326016,14,6,3,11,0.0010109116556122
iNat,oneliners,default,resid+specA,0.0011830367032168278,11,6,3,11,0.0021888897754251
iNat,oneliners,hypernym v2,resid+specA,0.0008839064919149871,11,5,2,9,0.0021489285863935
YFCC-filt,abstracts,default,resid+specA,0.0024013924875444367,11,7,7,11,0.004606325412169
YFCC-filt,oneliners,hypernym v2,resid+specA,0.0013732239577537908,11,6,2,8,0.0050189957255497
