species_residue,place_residue,biome_word,generic_landform,activity,motif_id,text_chars
True,False,False,True,True,l39,15456
False,False,False,True,True,k56d,9873
False,False,False,True,True,l7b,2358
False,False,False,True,True,b48b,7271
False,False,False,True,True,m198b3,11173
False,False,False,True,True,i101,6461
False,False,False,True,True,k119a,13614
False,False,False,True,True,k80b,13947
False,False,False,True,True,c35,13358
False,False,False,False,False,c36,2574
False,False,False,True,True,k91,14434
False,False,False,True,True,h46a,13775
False,False,False,True,True,b87c,3244
False,False,False,True,True,i81a1,2449
False,False,False,True,True,b2f,12275
False,False,False,True,True,c39,13517
False,False,False,True,True,a47,13630
False,False,False,True,True,h24a,5111
True,False,False,True,True,m167a,14343
False,False,False,True,True,f50,12988
False,False,False,True,True,h7b,12989
False,False,False,False,True,k61f,5183
False,False,False,True,True,l3a,8974
False,False,False,True,True,l39c,9468
False,False,False,True,True,j35,6533
False,False,False,True,True,j41a,8371
False,False,False,True,True,k27l1,15709
False,False,False,True,True,k116,14782
False,False,False,True,True,j51a,14126
False,False,False,True,True,m114d,11241
False,True,False,True,True,i85,11291
False,False,False,True,True,k132a,13758
False,False,False,True,True,c15,8385
False,False,False,True,True,k82,13796
False,False,False,True,True,d1b,13221
True,False,False,True,True,f97,13879
False,False,False,True,False,k149,7233
False,False,False,True,True,m44c,14320
False,False,False,True,True,m4,9389
False,False,False,True,True,m171a,13633
False,False,False,True,True,h36hh,10210
False,False,False,True,True,m7,13215
False,False,False,True,True,k163,14149
False,False,False,True,True,j55,15198
False,False,False,True,True,j12d,2646
False,False,False,True,True,k99b,13936
False,False,False,True,True,i81b,2584
False,False,False,True,True,k56a8,14789
False,False,False,True,True,n10a,12309
False,False,False,True,True,b74,7465
False,False,False,True,True,l15i,14016
False,False,False,True,True,m199g2,10557
False,False,False,True,True,e9k,12633
False,False,False,True,True,j54b,15031
False,False,False,True,True,d4c1,9049
False,False,False,True,True,m134,14655
False,False,False,True,True,j25,13919
False,False,False,True,True,j8,13447
False,False,False,True,True,b96,9398
False,False,False,True,True,l81b,14645
False,False,False,True,True,k27hh,15391
False,False,False,True,True,h2,13476
False,False,False,True,False,m29b,9570
True,False,False,True,True,m30c,13184
False,False,False,True,True,b87b,6600
False,False,False,True,True,l57b,11329
False,False,False,True,True,k111,11704
False,False,False,True,True,k147a,15099
False,False,False,True,True,m164,8808
False,False,False,True,True,k101b,14518
False,False,False,True,True,k29d,13066
False,False,False,True,True,k51a,5239
False,False,False,True,True,m68,4246
False,False,False,True,True,j57,13403
False,False,False,True,True,l84,11492
False,False,False,False,False,i37e,1117
False,False,False,True,True,h18,13682
False,False,False,True,True,k27nn,14667
False,False,False,True,True,m75b3,12870
False,False,False,True,True,h25,5533
False,False,False,True,True,m56a,10913
False,False,False,True,True,i22a,13106
False,False,False,True,True,l110c,9327
False,False,False,True,True,b42s,6954
True,False,False,True,True,k88b,14092
False,False,False,False,True,j12c,1461
False,False,False,True,True,b8,13590
False,False,False,True,True,k27n3b,13429
False,False,False,False,False,i59,1916
False,False,False,True,True,b38c,7149
False,False,False,True,True,f8,12649
