motif_id,ru_hits,en_hits
a1,саванна,
a12,пустыня,
a13a,тундре | тундру | тундры,
a13a1,тундре | тундру | тундры,
a16,мангрового,
a21,пустынным | тундре | тундру | тундры,
a23,прерии | саванна,
a23a,степи | степь,
a24,степной,
a24a,степной,
a27,саванна,
a29,тайги,
a29a,тайги,
a2a,пустыню | степи | тайгу,
a2b,тайгу,
a2b1,степи,
a2c,пустыню,
a3,пустыню | степные | степь | тундре | тундровые,
a32b,прерии,
a32d,тайге | тундре | яранги,
a32f,тайге,
a37,степи | тайгу,
a37a,степи,
a37b,степи,
a38,степные,
a38b,степные,
a4,мерзлоты | пустыни | степью | тайги | тундровые,
a44,тайге | тайгу,
a47,саванна,
a5,саванны,
a8a,степи,
b101,степные,
b108,,snow
b109,тайге,
b110,пустынным | степи | степь,
b110a,,snow
b113,ледник,
b114,саванне,
b116,степи,
b116a,степи,
b116b,степи,
b13a,саванну,
b15,мерзлота,
b16c,степные,
b18,саванне,
b26,тундру,
b28,прерии | саванна | саванне,
b28d,прерии,
b28d1,прерии,
b28e,прерии,
b2a,ледников | пустыни | саваннах | степные | степь | тундре | тундровые,
b2d,ледников | степь,
b2e,пустыни,
b3,,swamp
b32,саванну,
b33,пустыне | степи,
b33e,,freeze
b33f,степи,
b36,саванн,
b36a,тундровые,
b36b,саванн,
b36c,степные,
b37,степные,
b38c,тундровые,
b3a,пустынная | пустыня | степные | тундровый | тундры,
b3b,саваннах | саванны | степные,
b3e,пустыни | саваннах | степные,
b42,пустыни | тайги | тундре,
b42b,тайги | тундре | тундровые,
b42f,тундра | тундре,
b42h,пустыни,
b42h1,пустыни,
b42k,тундровые,
b42l,тундре,
b42m1,тундре,
b42mn,тайги,
b42n,оазис | саванны,
b42p,арктический,
b45,ледник | тундра | тундре | тундру | тундры,
b48,степь,
b48a,тайге | тундру,
b50,степи | степь | тундровых,
b55,саванну,
b57,степные,
b57a,степные,
b58,саванну,
b5a,тундровый,
b5b,саванна,
b60,тайгу,
b64,тайге,
b64a,тайге,
b64d,тайге | тундровые,
b68,тайге,
b70,тайге | тундровые,
b71,арктика | степные,
b72,тундре | тундровые,
b72a,тайгу,
b72b,тайгу,
b74,тайге,
b74a,ярангу,
b75a,прерии | тайге,
b77,ледников | пустынь | саваннах,
b77a,саваннах,
b78,,snow
b79,ледники,
b7b,пустыня,
b82,оазис | пустыне | пустыня | степные | степь | тундровые,
