motif_id,term,n_mentions,category,biome_hint
a1,маниока,1,artefact,Trop. Moist — manioc
a12,альпы,1,mountain,Mediterranean
a12,азии,1,continent,?
a12,лук,4,artefact,"generic, ambiguous (also = onion)"
a12,стрела,6,artefact,generic
a12,сибирский,1,region,Tundra/Boreal
a12,южный,2,direction,Southern
a12,северный,1,direction,Northern
a12a,альпы,1,mountain,Mediterranean
a12a,лук,2,artefact,"generic, ambiguous (also = onion)"
a12a,стрела,1,artefact,generic
a12b,лук,1,artefact,"generic, ambiguous (also = onion)"
a12b,южный,1,direction,Southern
a12b,стрела,2,artefact,generic
a12c,нила,1,river,Desert/Trop. Savanna
a12c,азии,1,continent,?
a12c,лук,1,artefact,"generic, ambiguous (also = onion)"
a12d,лук,1,artefact,"generic, ambiguous (also = onion)"
a12d,стрела,1,artefact,generic
a12e,стрела,2,artefact,generic
a13a,камчатки,1,region,Boreal/Tundra
a13a,азии,1,continent,?
a13a1,аляски,1,region,Tundra/Boreal
a13a1,лук,1,artefact,"generic, ambiguous (also = onion)"
a14,азии,1,continent,?
a14,лук,1,artefact,"generic, ambiguous (also = onion)"
a14,северный,1,direction,Northern
a14,аляски,1,region,Tundra/Boreal
a16,лук,3,artefact,"generic, ambiguous (also = onion)"
a16,стрела,2,artefact,generic
a17,лук,2,artefact,"generic, ambiguous (also = onion)"
a17,гарпун,1,artefact,Arctic/coastal — harpoon
a18,гималаев,1,mountain,Mountain
a18,ямс,1,artefact,Trop. Moist — yam
a18,гарпун,1,artefact,Arctic/coastal — harpoon
a20,аляски,1,region,Tundra/Boreal
a20,северный,1,direction,Northern
a20,маис,1,artefact,Trop./Temp. — maize
a20,маниока,2,artefact,Trop. Moist — manioc
a20,лук,2,artefact,"generic, ambiguous (also = onion)"
a21,австралии,1,region,Desert/Savanna (Aus)
a21,бумеранг,3,artefact,Australia — boomerang
a21,северное,1,direction,Northern
a21,лук,2,artefact,"generic, ambiguous (also = onion)"
a21,стрела,1,artefact,generic
a22,ямс,1,artefact,Trop. Moist — yam
a22,северная,1,direction,Northern
a22c,северная,1,direction,Northern
a23,лук,1,artefact,"generic, ambiguous (also = onion)"
a23,стрела,2,artefact,generic
a23a,карелия,1,region,Boreal
a23b,карелия,1,region,Boreal
a24,северная,1,direction,Northern
a24,северного,1,direction,Northern
a27,стрела,2,artefact,generic
a29a,стрела,1,artefact,generic
a2a,ямса,1,artefact,Trop. Moist
a2a,гималаев,1,mountain,Mountain
a2a,лук,20,artefact,"generic, ambiguous (also = onion)"
a2a,стрела,12,artefact,generic
a2a,северного,1,direction,Northern
a2a,северный,3,direction,Northern
a2a,южный,1,direction,Southern
a2a,амур,1,river,Boreal
a2b,лук,14,artefact,"generic, ambiguous (also = onion)"
a2b,стрела,8,artefact,generic
a2b,северного,1,direction,Northern
a2b1,ямса,1,artefact,Trop. Moist
a2b1,лук,11,artefact,"generic, ambiguous (also = onion)"
a2b1,стрела,6,artefact,generic
a2c,лук,1,artefact,"generic, ambiguous (also = onion)"
a2d,северное,1,direction,Northern
a2d,маниока,1,artefact,Trop. Moist — manioc
a2d,ямс,1,artefact,Trop. Moist — yam
a3,северного,1,direction,Northern
a3,конго,1,region/river,Trop. Moist
a3,ямс,3,artefact,Trop. Moist — yam
a3,полинезии,2,region,Trop. Moist (Pacific)
a3,лук,5,artefact,"generic, ambiguous (also = onion)"
a3,полярная,2,climate,Arctic
a3,нарты,2,artefact,Tundra/Boreal — sledge pl
a3,северный,1,direction,Northern
a3,стрела,1,artefact,generic
a3,северная,1,direction,Northern
a3,амазонка,1,river,Trop. Moist
a3,северное,1,direction,Northern
a3,маниока,1,artefact,Trop. Moist — manioc
a3,южный,1,direction,Southern
a31,аляски,1,region,Tundra/Boreal
a31,лук,3,artefact,"generic, ambiguous (also = onion)"
a31,амазонии,1,region,Trop. Moist
a31,стрела,1,artefact,generic
a31,маниока,2,artefact,Trop. Moist — manioc
a31,ямс,1,artefact,Trop. Moist — yam
a31a,нарте,1,artefact,Tundra/Boreal
a31a,нарты,1,artefact,Tundra/Boreal — sledge pl
a31a,аляски,1,region,Tundra/Boreal
a32a,стрела,5,artefact,generic
a32a,северного,1,direction,Northern
a32a,сахара,1,region,Desert
a32b,сахара,1,region,Desert
a32b,лук,2,artefact,"generic, ambiguous (also = onion)"
a32b,гарпун,1,artefact,Arctic/coastal — harpoon
a32b,южный,3,direction,Southern
a32c,южный,1,direction,Southern
a32d,северный,2,direction,Northern
a32d,южный,5,direction,Southern
a32d,северная,1,direction,Northern
a32d,сахара,1,region,Desert
a32d,стрела,5,artefact,generic
a32d,северного,2,direction,Northern
a32d,нарта,1,artefact,Tundra/Boreal — sledge
a32d,аляски,1,region,Tundra/Boreal
a32d,лук,2,artefact,"generic, ambiguous (also = onion)"
a32dd,южный,1,direction,Southern
a32e,южный,4,direction,Southern
a32e,северного,2,direction,Northern
a32e,стрела,2,artefact,generic
a32e,аляски,1,region,Tundra/Boreal
a32f,южный,3,direction,Southern
a32f,гарпун,1,artefact,Arctic/coastal — harpoon
a32f,лук,1,artefact,"generic, ambiguous (also = onion)"
a32h,южный,1,direction,Southern
a32h,северного,1,direction,Northern
a32h,стрела,2,artefact,generic
a35,азии,1,continent,?
a35,ямс,1,artefact,Trop. Moist — yam
a35,стрела,2,artefact,generic
a35,гарпун,1,artefact,Arctic/coastal — harpoon
a35,лук,1,artefact,"generic, ambiguous (also = onion)"
a35,амазонии,1,region,Trop. Moist
a35c,стрела,1,artefact,generic
a36,австралия,1,region,Desert/Savanna (Aus)
a36,ямс,1,artefact,Trop. Moist — yam
a36,стрела,3,artefact,generic
a37,лук,14,artefact,"generic, ambiguous (also = onion)"
a37,гималаев,1,mountain,Mountain
a37,стрела,11,artefact,generic
a37,северного,3,direction,Northern
a37,амур,1,river,Boreal
a37,северный,1,direction,Northern
a37a,лук,3,artefact,"generic, ambiguous (also = onion)"
a37a,стрела,5,artefact,generic
a37b,стрела,4,artefact,generic
a38,стрела,2,artefact,generic
a38,лук,1,artefact,"generic, ambiguous (also = onion)"
a38,северный,1,direction,Northern
a38a,стрела,1,artefact,generic
a38a,лук,1,artefact,"generic, ambiguous (also = onion)"
a38b,стрела,2,artefact,generic
a38b,лук,1,artefact,"generic, ambiguous (also = onion)"
a38b,северный,1,direction,Northern
a38c,лук,2,artefact,"generic, ambiguous (also = onion)"
a38d,лук,2,artefact,"generic, ambiguous (also = onion)"
a38d,северный,1,direction,Northern
a39,лук,1,artefact,"generic, ambiguous (also = onion)"
a4,северного,1,direction,Northern
a4,африки,1,region,Trop. Savanna/Moist
a4,азии,3,continent,?
a4,ямс,1,artefact,Trop. Moist — yam
a4,ямса,1,artefact,Trop. Moist
a4,лук,3,artefact,"generic, ambiguous (also = onion)"
a4,полярная,2,climate,Arctic
a4,южный,1,direction,Southern
a40,маниока,1,artefact,Trop. Moist — manioc
a41,австралии,1,region,Desert/Savanna (Aus)
a42,нарте,1,artefact,Tundra/Boreal
a42,лук,6,artefact,"generic, ambiguous (also = onion)"
a42,стрела,1,artefact,generic
a43,стрела,1,artefact,generic
a43a,стрела,1,artefact,generic
a45,южный,2,direction,Southern
a45,северного,1,direction,Northern
a46,северное,1,direction,Northern
a46,южное,1,direction,Southern
a47,австралии,1,region,Desert/Savanna (Aus)
a47,южный,1,direction,Southern
a4a,лук,1,artefact,"generic, ambiguous (also = onion)"
a5,ямс,1,artefact,Trop. Moist — yam
a5,ямса,1,artefact,Trop. Moist
a5,лук,9,artefact,"generic, ambiguous (also = onion)"
a5,северный,1,direction,Northern
a5,экватора,1,climate,Equatorial
a5,сахара,1,region,Desert
a5,северного,1,direction,Northern
a5,стрела,4,artefact,generic
a5,гарпун,1,artefact,Arctic/coastal — harpoon
a5,южный,2,direction,Southern
a5,маниока,2,artefact,Trop. Moist — manioc
a6,северного,1,direction,Northern
a6,конго,2,region/river,Trop. Moist
a6,лук,5,artefact,"generic, ambiguous (also = onion)"
a6,полярная,1,climate,Arctic
a7,аляски,1,region,Tundra/Boreal
a7,северный,1,direction,Northern
a7a,аляски,1,region,Tundra/Boreal
a7a,лук,1,artefact,"generic, ambiguous (also = onion)"
b1,енисей,1,river,Boreal
b1,северного,1,direction,Northern
b1,лук,1,artefact,"generic, ambiguous (also = onion)"
b1,стрела,1,artefact,generic
