word_en,hypernym_en,word_ru,hypernym_ru
adult,animal,взрослый,животное
adult,animal,взрослого,животное
adult,animal,взрослому,животное
adult,animal,взрослым,животное
adult,animal,взрослые,животное
adult,animal,взрослых,животное
alligator,crocodilian reptile,аллигатор,крокодиловая рептилия
alligator,crocodilian reptile,аллигатора,крокодиловая рептилия
alligator,crocodilian reptile,аллигатору,крокодиловая рептилия
alligator,crocodilian reptile,аллигатором,крокодиловая рептилия
alligator,crocodilian reptile,аллигаторы,крокодиловая рептилия
alligator,crocodilian reptile,аллигаторов,крокодиловая рептилия
amazons,parrot,амазоны,попугай
amazons,parrot,амазонов,попугай
amazons,parrot,амазонам,попугай
amazons,parrot,амазонами,попугай
animal,organism,животное,организм
animal,organism,животного,организм
animal,organism,животному,организм
animal,organism,животным,организм
animal,organism,о животном,организм
animals,organism,животные,организм
animals,organism,животных,организм
animals,organism,животным,организм
animals,organism,животными,организм
ant,hymenopterous insect,муравей,перепончатокрылое насекомое
ant,hymenopterous insect,муравья,перепончатокрылое насекомое
ant,hymenopterous insect,муравью,перепончатокрылое насекомое
ant,hymenopterous insect,муравьём,перепончатокрылое насекомое
ant,hymenopterous insect,о муравье,перепончатокрылое насекомое
anteater,placental,муравьед,плацентарное млекопитающее
anteater,placental,муравьеда,плацентарное млекопитающее
anteater,placental,муравьеду,плацентарное млекопитающее
anteater,placental,муравьедом,плацентарное млекопитающее
anteater,placental,муравьеды,плацентарное млекопитающее
anteater,placental,муравьедов,плацентарное млекопитающее
ants,hymenopterous insect,муравьи,перепончатокрылое насекомое
ants,hymenopterous insect,муравьёв,перепончатокрылое насекомое
ants,hymenopterous insect,муравьям,перепончатокрылое насекомое
ants,hymenopterous insect,муравьями,перепончатокрылое насекомое
apple,apple tree,яблоко,яблоневое дерево
apple,apple tree,яблока,яблоневое дерево
apple,apple tree,яблоку,яблоневое дерево
apple,apple tree,яблоком,яблоневое дерево
apple,apple tree,о яблоке,яблоневое дерево
apples,apple tree,яблоки,яблоневое дерево
apples,apple tree,яблок,яблоневое дерево
apples,apple tree,яблокам,яблоневое дерево
apples,apple tree,яблоками,яблоневое дерево
armadillo,edentate,броненосец,неполнозубое млекопитающее
armadillo,edentate,броненосца,неполнозубое млекопитающее
armadillo,edentate,броненосцу,неполнозубое млекопитающее
armadillo,edentate,броненосцем,неполнозубое млекопитающее
armadillo,edentate,броненосцы,неполнозубое млекопитающее
armadillo,edentate,броненосцев,неполнозубое млекопитающее
ashes,tree,ясени,дерево
ashes,tree,ясеней,дерево
ashes,tree,ясеням,дерево
ashes,tree,ясенями,дерево
babies,fetus,младенцы,зародыш
babies,fetus,младенцев,зародыш
babies,fetus,младенцам,зародыш
babies,fetus,младенцами,зародыш
baby,fetus,младенец,зародыш
baby,fetus,младенца,зародыш
baby,fetus,младенцу,зародыш
baby,fetus,младенцем,зародыш
baby,fetus,о младенце,зародыш
bat,placental,летучая мышь,плацентарное млекопитающее
bat,placental,летучей мыши,плацентарное млекопитающее
bat,placental,летучую мышь,плацентарное млекопитающее
bat,placental,летучей мышью,плацентарное млекопитающее
bat,placental,летучие мыши,плацентарное млекопитающее
bat,placental,летучих мышей,плацентарное млекопитающее
bear,carnivore,медведь,хищник
bear,carnivore,медведя,хищник
bear,carnivore,медведю,хищник
bear,carnivore,медведем,хищник
bear,carnivore,о медведе,хищник
bears,carnivore,медведи,хищник
bears,carnivore,медведей,хищник
bears,carnivore,медведям,хищник
bears,carnivore,медведями,хищник
beast,organism,зверь,организм
beast,organism,зверя,организм
beast,organism,зверю,организм
beast,organism,зверем,организм
beast,organism,о звере,организм
beasts,organism,звери,организм
beasts,organism,зверей,организм
beasts,organism,зверям,организм
beasts,organism,зверями,организм
bee,hymenopterous insect,пчела,перепончатокрылое насекомое
bee,hymenopterous insect,пчелы,перепончатокрылое насекомое
bee,hymenopterous insect,пчеле,перепончатокрылое насекомое
bee,hymenopterous insect,пчелу,перепончатокрылое насекомое
bee,hymenopterous insect,пчелой,перепончатокрылое насекомое
bees,hymenopterous insect,пчёлы,перепончатокрылое насекомое
bees,hymenopterous insect,пчёл,перепончатокрылое насекомое
bees,hymenopterous insect,пчёлам,перепончатокрылое насекомое
bees,hymenopterous insect,пчёлами,перепончатокрылое насекомое
bird,vertebrate,птица,позвоночное
bird,vertebrate,птицы,позвоночное
bird,vertebrate,птице,позвоночное
bird,vertebrate,птицу,позвоночное
bird,vertebrate,птицей,позвоночное
birds,vertebrate,птицы,позвоночное
birds,vertebrate,птиц,позвоночное
birds,vertebrate,птицам,позвоночное
birds,vertebrate,птицами,позвоночное
bitch,canine,сука,псовое
bitch,canine,суки,псовое
bitch,canine,суке,псовое
bitch,canine,суку,псовое
bitch,canine,сукой,псовое
buffalo,bison,буйвол,бизон
buffalo,bison,буйвола,бизон
buffalo,bison,буйволу,бизон
buffalo,bison,буйволом,бизон
buffalo,bison,буйволы,бизон
buffalo,bison,буйволов,бизон
bull,cattle,бык,крупный рогатый скот
bull,cattle,быка,крупный рогатый скот
bull,cattle,быку,крупный рогатый скот
bull,cattle,быком,крупный рогатый скот
bull,cattle,быки,крупный рогатый скот
bull,cattle,быков,крупный рогатый скот
bush,woody plant,куст,древесное растение
bush,woody plant,куста,древесное растение
bush,woody plant,кусту,древесное растение
bush,woody plant,кустом,древесное растение
bush,woody plant,кусты,древесное растение
bush,woody plant,кустов,древесное растение
caiman,crocodilian reptile,кайман,крокодиловая рептилия
caiman,crocodilian reptile,каймана,крокодиловая рептилия
caiman,crocodilian reptile,кайману,крокодиловая рептилия
caiman,crocodilian reptile,кайманом,крокодиловая рептилия
caiman,crocodilian reptile,кайманы,крокодиловая рептилия
caiman,crocodilian reptile,кайманов,крокодиловая рептилия
calf,young mammal,телёнок,детёныш млекопитающего
calf,young mammal,телёнка,детёныш млекопитающего
calf,young mammal,телёнку,детёныш млекопитающего
calf,young mammal,телёнком,детёныш млекопитающего
calf,young mammal,телята,детёныш млекопитающего
calf,young mammal,телят,детёныш млекопитающего
camel,even-toed ungulate,верблюд,парнокопытное
camel,even-toed ungulate,верблюда,парнокопытное
camel,even-toed ungulate,верблюду,парнокопытное
camel,even-toed ungulate,верблюдом,парнокопытное
camel,even-toed ungulate,верблюды,парнокопытное
