word_en,class_en,word_ru,class_ru
adult,animal,взрослый,животное
adult,animal,взрослого,животное
adult,animal,взрослому,животное
adult,animal,взрослым,животное
adult,animal,взрослые,животное
adult,animal,взрослых,животное
alligator,reptile,аллигатор,рептилия
alligator,reptile,аллигатора,рептилия
alligator,reptile,аллигатору,рептилия
alligator,reptile,аллигатором,рептилия
alligator,reptile,аллигаторы,рептилия
alligator,reptile,аллигаторов,рептилия
amazons,bird,амазон,птица
amazons,bird,амазона,птица
amazons,bird,амазоны,птица
amazons,bird,амазонов,птица
animals,animal,животные,животное
animals,animal,животных,животное
animals,animal,животным,животное
animals,animal,животными,животное
ant,insect,муравей,насекомое
ant,insect,муравья,насекомое
ant,insect,муравью,насекомое
ant,insect,муравьём,насекомое
ant,insect,муравье,насекомое
anteater,mammal,муравьед,млекопитающее
anteater,mammal,муравьеда,млекопитающее
anteater,mammal,муравьеду,млекопитающее
anteater,mammal,муравьедом,млекопитающее
anteater,mammal,муравьеды,млекопитающее
anteater,mammal,муравьедов,млекопитающее
ants,insect,муравьи,насекомое
ants,insect,муравьёв,насекомое
ants,insect,муравьям,насекомое
ants,insect,муравьями,насекомое
apple,tree,яблоко,дерево
apple,tree,яблока,дерево
apple,tree,яблоку,дерево
apple,tree,яблоком,дерево
apple,tree,яблоке,дерево
apples,tree,яблоки,дерево
apples,tree,яблок,дерево
apples,tree,яблокам,дерево
apples,tree,яблоками,дерево
aquatic,plant,водный,растение
aquatic,plant,водного,растение
aquatic,plant,водные,растение
aquatic,plant,водных,растение
armadillo,mammal,броненосец,млекопитающее
armadillo,mammal,броненосца,млекопитающее
armadillo,mammal,броненосцу,млекопитающее
armadillo,mammal,броненосцем,млекопитающее
armadillo,mammal,броненосцы,млекопитающее
armadillo,mammal,броненосцев,млекопитающее
ashes,tree,ясень,дерево
ashes,tree,ясеня,дерево
ashes,tree,ясеню,дерево
ashes,tree,ясенем,дерево
ashes,tree,ясени,дерево
ashes,tree,ясеней,дерево
babies,animal,младенцы,животное
babies,animal,младенцев,животное
babies,animal,младенцам,животное
babies,animal,детёныши,животное
babies,animal,детёнышей,животное
baby,animal,младенец,животное
baby,animal,младенца,животное
baby,animal,младенцу,животное
baby,animal,детёныш,животное
baby,animal,детёныша,животное
bat,mammal,летучая мышь,млекопитающее
bat,mammal,летучей мыши,млекопитающее
bat,mammal,летучую мышь,млекопитающее
bat,mammal,летучие мыши,млекопитающее
bear,mammal,медведь,млекопитающее
bear,mammal,медведя,млекопитающее
bear,mammal,медведю,млекопитающее
bear,mammal,медведем,млекопитающее
bear,mammal,медведе,млекопитающее
bears,mammal,медведи,млекопитающее
bears,mammal,медведей,млекопитающее
bears,mammal,медведям,млекопитающее
bears,mammal,медведями,млекопитающее
beast,animal,зверь,животное
beast,animal,зверя,животное
beast,animal,зверю,животное
beast,animal,зверем,животное
beast,animal,звере,животное
beasts,animal,звери,животное
beasts,animal,зверей,животное
beasts,animal,зверям,животное
beasts,animal,зверями,животное
bee,insect,пчела,насекомое
bee,insect,пчелы,насекомое
bee,insect,пчеле,насекомое
bee,insect,пчелу,насекомое
bee,insect,пчелой,насекомое
bees,insect,пчёлы,насекомое
bees,insect,пчёл,насекомое
bees,insect,пчёлам,насекомое
bees,insect,пчёлами,насекомое
birds,bird,птицы,птица
birds,bird,птиц,птица
birds,bird,птицам,птица
birds,bird,птицами,птица
birds,bird,птицах,птица
bitch,mammal,сука,млекопитающее
bitch,mammal,суки,млекопитающее
bitch,mammal,суке,млекопитающее
bitch,mammal,суку,млекопитающее
bitch,mammal,сукой,млекопитающее
box,plant,самшит,растение
box,plant,самшита,растение
box,plant,самшиту,растение
box,plant,самшитом,растение
broom,plant,метла,растение
broom,plant,метлы,растение
broom,plant,метле,растение
broom,plant,метлу,растение
broom,plant,метлой,растение
buffalo,mammal,буйвол,млекопитающее
buffalo,mammal,буйвола,млекопитающее
buffalo,mammal,буйволу,млекопитающее
buffalo,mammal,буйволом,млекопитающее
buffalo,mammal,буйволы,млекопитающее
buffalo,mammal,буйволов,млекопитающее
bull,mammal,бык,млекопитающее
bull,mammal,быка,млекопитающее
bull,mammal,быку,млекопитающее
bull,mammal,быком,млекопитающее
bull,mammal,быке,млекопитающее
bush,plant,куст,растение
bush,plant,куста,растение
bush,plant,кусту,растение
bush,plant,кустом,растение
bush,plant,кусте,растение
bush,plant,кусты,растение
caiman,reptile,кайман,рептилия
caiman,reptile,каймана,рептилия
caiman,reptile,кайману,рептилия
caiman,reptile,кайманом,рептилия
caiman,reptile,кайманы,рептилия
caiman,reptile,кайманов,рептилия
calf,animal,телёнок,животное
calf,animal,телёнка,животное
calf,animal,телёнку,животное
calf,animal,телёнком,животное
calf,animal,телята,животное
camel,mammal,верблюд,млекопитающее
camel,mammal,верблюда,млекопитающее
camel,mammal,верблюду,млекопитающее
camel,mammal,верблюдом,млекопитающее
camel,mammal,верблюды,млекопитающее
camel,mammal,верблюдов,млекопитающее
cardinal,bird,кардинал,птица
cardinal,bird,кардинала,птица
cardinal,bird,кардиналу,птица
cardinal,bird,кардиналом,птица
cardinal,bird,кардиналы,птица
cat,mammal,кот,млекопитающее
cat,mammal,кота,млекопитающее
cat,mammal,коту,млекопитающее
cat,mammal,котом,млекопитающее
cat,mammal,коте,млекопитающее
cat,mammal,кошка,млекопитающее
cat,mammal,кошки,млекопитающее
cat,mammal,кошке,млекопитающее
cat,mammal,кошку,млекопитающее
cattle,mammal,скот,млекопитающее
cattle,mammal,скота,млекопитающее
cattle,mammal,скоту,млекопитающее
cattle,mammal,скотом,млекопитающее
cattle,mammal,скоте,млекопитающее
cereals,plant,злак,растение
cereals,plant,злака,растение
cereals,plant,злаки,растение
cereals,plant,злаков,растение
cereals,plant,злакам,растение
chameleon,reptile,хамелеон,рептилия
chameleon,reptile,хамелеона,рептилия
chameleon,reptile,хамелеону,рептилия
chameleon,reptile,хамелеоном,рептилия
chameleon,reptile,хамелеоны,рептилия
chameleon,reptile,хамелеонов,рептилия
chicken,bird,курица,птица
chicken,bird,курицы,птица
chicken,bird,курице,птица
chicken,bird,курицу,птица
chicken,bird,курицей,птица
chickens,bird,куры,птица
chickens,bird,кур,птица
chickens,bird,курам,птица
chickens,bird,курами,птица
