biome,delta_raw,null_matched,p_matched,n_in,delta_proj,p_proj,q_matched,q_proj
Boreal Forests/Taiga,0.0008654817938804,0.0006341255623847,0.0029970029970029,1164,0.0004074429452884,0.0009990009990009,0.00839160839160812,0.0023310023310021
Deserts & Xeric Shrublands,0.0002708230167627,0.0002214233493432,0.2387612387612387,1251,0.0002040392719209,0.0039960039960039,0.3714063714063713,0.006993006993006825
Flooded Grasslands & Savannas,0.0003496343269944,0.0001926962831057,0.0389610389610389,487,0.0002272989077027,0.0039960039960039,0.0779220779220778,0.006993006993006825
Mangroves,0.0006934408447705,0.0003942662581684,0.0019980019980019,191,0.000302156433463,0.0009990009990009,0.00699300699300665,0.0023310023310021
"Mediterranean Forests, Woodlands & Scrub",0.000170917250216,0.0001468332037329,0.3586413586413586,911,0.0002551921643316,0.0009990009990009,0.502097902097902,0.0023310023310021
Montane Grasslands & Shrublands,0.0005691982805728,0.0003330984688363,0.0019980019980019,786,0.0003596184542402,0.0009990009990009,0.00699300699300665,0.0023310023310021
Temperate Broadleaf & Mixed Forests,0.0001405586954206,0.0001859993890393,0.7552447552447552,1533,0.0001331872772425,0.0529470529470529,0.8133405056481979,0.07412587412587406
Temperate Conifer Forests,-4.20083524659276e-05,7.307711284374819e-05,0.928071928071928,1184,-4.753004759550095e-05,0.7622377622377622,0.928071928071928,0.7692307692307693
"Temperate Grasslands, Savannas & Shrublands",0.00010704077431,0.000108298905543,0.5064935064935064,1242,2.636667340993881e-05,0.3436563436563437,0.5909090909090908,0.40093240093240096
Tropical & Subtropical Coniferous Forests,5.329982377588749e-05,4.511619010008871e-05,0.4705294705294705,459,-4.992587491869927e-05,0.7692307692307693,0.5909090909090908,0.7692307692307693
Tropical & Subtropical Dry Broadleaf Forests,0.000469273305498,0.0001684517180547,0.0009990009990009,738,9.094178676605225e-05,0.1328671328671328,0.006993006993006299,0.16910362364907813
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0005793942837044,0.0004199333803262,0.0099900099900099,938,0.0002805890981107,0.0009990009990009,0.0233100233100231,0.0023310023310021
Tropical & Subtropical Moist Broadleaf Forests,0.0010786296334117,0.0006694238043273,0.0009990009990009,1373,0.0003691489109769,0.0009990009990009,0.006993006993006299,0.0023310023310021
Tundra,0.0004797293804585,0.0003773466984275,0.1448551448551448,810,0.000203879084438,0.0089910089910089,0.25349650349650343,0.013986013986013845
