biome,taxon,delta,p,n_img,q
Boreal Forests/Taiga,Actinopterygii,1.1910311877727509,0.09,21,0.2446153846153846
Boreal Forests/Taiga,Aves,0.9323121048510076,0.0,413,0.0
Boreal Forests/Taiga,Fungi,0.6219907663762569,0.2425,76,0.485
Boreal Forests/Taiga,Insecta,0.2916480880230665,0.185,281,0.40854166666666664
Boreal Forests/Taiga,Mammalia,1.347837969660759,0.0275,107,0.1267391304347826
Boreal Forests/Taiga,Plantae,0.8080689585767686,0.3125,1471,0.5653333333333334
Deserts & Xeric Shrublands,Amphibia,-0.4772639367729425,0.975,33,0.996904761904762
Deserts & Xeric Shrublands,Arachnida,-0.0404026359319686,0.8225,54,0.9854687499999999
Deserts & Xeric Shrublands,Aves,0.1349849626421928,0.01,1278,0.05578947368421053
Deserts & Xeric Shrublands,Insecta,0.0927066430449485,0.5575,435,0.8391666666666666
Deserts & Xeric Shrublands,Mammalia,1.010539010167122,0.04,176,0.1630769230769231
Deserts & Xeric Shrublands,Plantae,0.8554079104214907,0.065,1238,0.21044117647058824
Deserts & Xeric Shrublands,Reptilia,0.3197882324457168,0.3275,257,0.5690983606557377
Flooded Grasslands & Savannas,Aves,0.0829536002129316,0.0275,275,0.1267391304347826
Flooded Grasslands & Savannas,Insecta,-0.1288487110286951,0.3825,88,0.6237692307692307
Flooded Grasslands & Savannas,Mammalia,1.0464796796441078,0.0975,51,0.24607142857142858
Flooded Grasslands & Savannas,Plantae,0.2264644135721027,0.8275,63,0.9854687499999999
Flooded Grasslands & Savannas,Reptilia,0.5211224779486656,0.22,43,0.4664
Mangroves,Aves,0.7390913087874651,0.0625,99,0.21044117647058824
Mangroves,Insecta,0.4640441620722413,0.315,43,0.5653333333333334
Mangroves,Plantae,-0.1135878264904022,0.885,23,0.9854687499999999
Mangroves,Reptilia,1.6842158511281011,0.0,22,0.0
"Mediterranean Forests, Woodlands & Scrub",Amphibia,-0.0174505403265357,0.57,26,0.8391666666666666
"Mediterranean Forests, Woodlands & Scrub",Animalia,-0.6711240857839584,0.89,22,0.9854687499999999
"Mediterranean Forests, Woodlands & Scrub",Arachnida,-0.1409766264259815,0.755,38,0.9854687499999999
"Mediterranean Forests, Woodlands & Scrub",Aves,-0.15781179536134,0.48,333,0.748235294117647
"Mediterranean Forests, Woodlands & Scrub",Fungi,0.272675184533,0.23,46,0.47394230769230766
"Mediterranean Forests, Woodlands & Scrub",Insecta,-0.0412184745073318,0.655,356,0.9135526315789475
"Mediterranean Forests, Woodlands & Scrub",Mammalia,0.8497294038534164,0.2625,46,0.505909090909091
"Mediterranean Forests, Woodlands & Scrub",Mollusca,0.1385948853567242,0.0975,38,0.24607142857142858
"Mediterranean Forests, Woodlands & Scrub",Plantae,1.0705026797950268,0.045,806,0.16448275862068965
"Mediterranean Forests, Woodlands & Scrub",Reptilia,0.4062508232891559,0.345,74,0.5804761904761905
Montane Grasslands & Shrublands,Aves,0.1480262726545334,0.005,483,0.035333333333333335
Montane Grasslands & Shrublands,Insecta,0.2760738134384155,0.1025,232,0.2526744186046512
Montane Grasslands & Shrublands,Mammalia,1.2581665068864822,0.045,113,0.16448275862068965
Montane Grasslands & Shrublands,Plantae,0.5449402960948646,0.565,526,0.8391666666666666
Montane Grasslands & Shrublands,Reptilia,0.6187818944454193,0.09,24,0.2446153846153846
