biome,delta_full,delta_species,delta_place,delta_ethnonym
Boreal Forests/Taiga,0.0008580074645578861,0.0010218555107712746,0.0005056480877101421,0.0015337159857153893
Deserts & Xeric Shrublands,0.00026615289971232414,0.0008642300963401794,0.00031590042635798454,0.0006679061916656792
Flooded Grasslands & Savannas,0.00038138497620821,0.0013594796182587743,0.0003790567279793322,0.0002566924667917192
Mangroves,0.0007136168424040079,0.0014149476774036884,0.0004174555651843548,0.0004688645713031292
"Mediterranean Forests, Woodlands & Scrub",0.00016522721853107214,0.0002701004850678146,0.00024042767472565174,0.0009747808799147606
Montane Grasslands & Shrublands,0.000544197391718626,0.0010589826852083206,0.00019276374951004982,0.0007187956944108009
Temperate Broadleaf & Mixed Forests,0.00012584147043526173,0.000380435842089355,0.00020729551033582538,0.0014589519705623388
Temperate Conifer Forests,-4.1467195842415094e-05,0.0001344734337180853,0.00026260153390467167,0.000351492315530777
"Temperate Grasslands, Savannas & Shrublands",9.962418698705733e-05,0.0004940342623740435,0.0002340204082429409,0.0006157932803034782
Tropical & Subtropical Coniferous Forests,6.302213296294212e-05,0.00029836606699973345,0.00020255590789020061,0.00029164087027311325
Tropical & Subtropical Dry Broadleaf Forests,0.0004949212307110429,0.0013581837993115187,0.00039890105836093426,0.00031569646671414375
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0005794974276795983,0.001804540166631341,0.00014362577348947525,0.0006096195429563522
Tropical & Subtropical Moist Broadleaf Forests,0.0010681808926165104,0.0025746759492903948,0.0008552371291443706,0.0010411206167191267
Tundra,0.0005091163329780102,0.0005526137538254261,0.000639304518699646,0.0009604631923139095
