biome,delta_obs,null_mean,p
Boreal Forests/Taiga,0.0007688533514738083,0.0005480687255039811,0.009
Deserts & Xeric Shrublands,0.0004253616789355874,0.00016937941394280643,0.0
Flooded Grasslands & Savannas,0.00023537594825029373,-1.350641855970025e-05,0.006
Mangroves,0.0007364634657278657,0.0004268549614425865,0.011
"Mediterranean Forests, Woodlands & Scrub",0.00047469441778957844,0.0003592393260332756,0.005
Montane Grasslands & Shrublands,0.0003624269738793373,0.0002025102390907705,0.002
Temperate Broadleaf & Mixed Forests,0.0006304719718173146,0.0005360728012165054,0.054
Temperate Conifer Forests,0.0001418301835656166,0.0001730206017382443,0.671
"Temperate Grasslands, Savannas & Shrublands",0.000334580079652369,0.0002163324528373778,0.004
Tropical & Subtropical Coniferous Forests,7.158913649618626e-05,7.254518195986748e-05,0.499
Tropical & Subtropical Dry Broadleaf Forests,0.0004155315400566906,0.000259351430577226,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0007122047827579081,0.00041835014091338963,0.0
Tropical & Subtropical Moist Broadleaf Forests,0.000879146158695221,0.0006265099110314622,0.0
Tundra,0.0004309999058023095,0.0003266821761499159,0.188
