biome,delta_obs,null_mean,p,q
Boreal Forests/Taiga,0.000864541158080101,0.0005726040597073734,0.000999000999000999,0.006993006993006993
Deserts & Xeric Shrublands,0.0002609868533909321,0.00015814472013153135,0.08891108891108891,0.1555944055944056
Flooded Grasslands & Savannas,0.00037752091884613037,0.0001654202900826931,0.005994005994005994,0.018648018648018648
Mangroves,0.0007127418648451567,0.00048547034623334185,0.007992007992007992,0.018648018648018648
"Mediterranean Forests, Woodlands & Scrub",0.00016668991884216666,0.00012745228136191146,0.27372627372627373,0.3483788938334393
Montane Grasslands & Shrublands,0.0005415389314293861,0.0002782129505649209,0.001998001998001998,0.009324009324009324
Temperate Broadleaf & Mixed Forests,0.0001257017720490694,0.00014508096151985228,0.6123876123876124,0.7144522144522144
Temperate Conifer Forests,-3.871374065056443e-05,3.20314517011866e-05,0.8371628371628371,0.8371628371628371
"Temperate Grasslands, Savannas & Shrublands",9.975850116461515e-05,3.388429826009087e-05,0.14485514485514486,0.22533022533022531
Tropical & Subtropical Coniferous Forests,6.774906069040298e-05,9.409945545485243e-05,0.6733266733266733,0.7251210328133405
Tropical & Subtropical Dry Broadleaf Forests,0.0004927216796204448,0.00040582088346127423,0.16783216783216784,0.23496503496503496
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0005820775404572487,0.00044052096363157034,0.02097902097902098,0.04195804195804196
Tropical & Subtropical Moist Broadleaf Forests,0.0010695257224142551,0.0007204432764556259,0.000999000999000999,0.006993006993006993
Tundra,0.0005108958575874567,0.00030156965646892784,0.007992007992007992,0.018648018648018648
