biome,delta_obs,null_mean,p
Boreal Forests/Taiga,0.0007759154541417956,0.0006310715528670698,0.047
Deserts & Xeric Shrublands,0.00042923266300931573,0.0002250557351508178,0.0
Flooded Grasslands & Savannas,0.00019290903583168983,-2.467180509120226e-05,0.013
Mangroves,0.0007148199365474284,0.00032712132144661156,0.003
"Mediterranean Forests, Woodlands & Scrub",0.0004790760576725006,0.0003892789673991501,0.02
Montane Grasslands & Shrublands,0.0004128352738916874,0.00021536117140203714,0.001
Temperate Broadleaf & Mixed Forests,0.0006539630703628063,0.0005581064106663689,0.048
Temperate Conifer Forests,0.0001666136085987091,0.00021461098967120052,0.734
"Temperate Grasslands, Savannas & Shrublands",0.0003353311331011355,0.00024277615625760518,0.033
Tropical & Subtropical Coniferous Forests,7.494702003896236e-05,9.611681243404746e-05,0.681
Tropical & Subtropical Dry Broadleaf Forests,0.00039310549618676305,0.00016122398752486334,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0006881654262542725,0.00044366102514322846,0.0
Tropical & Subtropical Moist Broadleaf Forests,0.0008788085542619228,0.0005954729316872545,0.0
Tundra,0.00040100584737956524,0.00039480121235828847,0.475
