biome,delta_obs,null_mean,p
Boreal Forests/Taiga,0.0007639266550540924,0.0006811782619915903,0.152
Deserts & Xeric Shrublands,0.00043006084160879254,0.0002530739701469429,0.0
Flooded Grasslands & Savannas,0.00023934850469231606,1.2210198678076268e-05,0.004
Mangroves,0.0007380777969956398,0.0003053005311230663,0.002
"Mediterranean Forests, Woodlands & Scrub",0.00047447055112570524,0.00041767142701428384,0.088
Montane Grasslands & Shrublands,0.00036392174661159515,0.00027802642225287856,0.055
Temperate Broadleaf & Mixed Forests,0.0006344519788399339,0.0005878858250798658,0.189
Temperate Conifer Forests,0.0001383344642817974,0.00021329108346253634,0.852
"Temperate Grasslands, Savannas & Shrublands",0.00033226533560082316,0.00020994989652535877,0.002
Tropical & Subtropical Coniferous Forests,6.984570063650608e-05,4.529862338677049e-05,0.332
Tropical & Subtropical Dry Broadleaf Forests,0.00041632851934991777,0.0001796268366742879,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0007075851899571717,0.0004374777887715027,0.0
Tropical & Subtropical Moist Broadleaf Forests,0.0008793037850409746,0.0006341656387085095,0.0
Tundra,0.00043051864486187696,0.0005132892963592894,0.79
