biome,delta_obs,null_mean,p,q
Boreal Forests/Taiga,0.0008580069988965988,0.0006162536181509495,0.000999000999000999,0.0034965034965034965
Deserts & Xeric Shrublands,0.00026615289971232414,0.00015130196465179324,0.06493506493506493,0.11363636363636362
Flooded Grasslands & Savannas,0.00038138497620821,0.00015070056123659014,0.00999000999000999,0.01998001998001998
Mangroves,0.0007136168424040079,0.00034210302907740695,0.000999000999000999,0.0034965034965034965
"Mediterranean Forests, Woodlands & Scrub",0.00016522727673873305,0.000152525317564141,0.4115884115884116,0.44324905863367403
Montane Grasslands & Shrublands,0.0005441964603960514,0.0003285577245987952,0.000999000999000999,0.0034965034965034965
Temperate Broadleaf & Mixed Forests,0.00012584123760461807,9.917169134132563e-05,0.34465534465534464,0.4020979020979021
Temperate Conifer Forests,-4.1467195842415094e-05,3.140041907317936e-05,0.8321678321678322,0.8321678321678322
"Temperate Grasslands, Savannas & Shrublands",9.962415788322687e-05,1.9947025313740596e-05,0.1048951048951049,0.16317016317016317
Tropical & Subtropical Coniferous Forests,6.302213296294212e-05,2.219869114924222e-05,0.22377622377622378,0.2848061029879212
Tropical & Subtropical Dry Broadleaf Forests,0.0004949216963723302,0.0002580952540738508,0.008991008991008992,0.01998001998001998
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0005794974276795983,0.0003874707402428612,0.001998001998001998,0.005594405594405594
Tropical & Subtropical Moist Broadleaf Forests,0.0010681810090318322,0.0007364666413050145,0.000999000999000999,0.0034965034965034965
Tundra,0.0005091161001473665,0.00044043989316560326,0.21978021978021978,0.2848061029879212
