biome,delta_obs,null_mean,p_matched
Boreal Forests/Taiga,0.0007706544129177928,0.00025601048138923943,0.0
Deserts & Xeric Shrublands,0.00043404585449025035,0.00013797915069153533,0.0
Flooded Grasslands & Savannas,0.00019714795053005219,3.737294720485807e-05,0.07
Mangroves,0.0007165685528889298,0.0002285065958130872,0.003
"Mediterranean Forests, Woodlands & Scrub",0.0004787781508639455,0.00019637778162723407,0.0
Montane Grasslands & Shrublands,0.000414279755204916,7.833539764396847e-05,0.0
Temperate Broadleaf & Mixed Forests,0.0006580115295946598,0.00031730116717517375,0.0
Temperate Conifer Forests,0.00016285153105854988,7.474460173398256e-05,0.161
"Temperate Grasslands, Savannas & Shrublands",0.0003329531755298376,0.00016540543900919147,0.0
Tropical & Subtropical Coniferous Forests,7.314048707485199e-05,2.3985838517546655e-05,0.191
Tropical & Subtropical Dry Broadleaf Forests,0.0003940022434107959,0.00011518096688087099,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0006834978703409433,0.00030686533590778707,0.0
Tropical & Subtropical Moist Broadleaf Forests,0.0008789609419181943,0.0003890767868142575,0.0
Tundra,0.00040033727418631315,0.00016989489446859806,0.045
