biome,delta_obs,null_mean,p
Boreal Forests/Taiga,0.0008587338961660862,0.00022967249620705843,0.0
Deserts & Xeric Shrublands,0.0002762556541711092,0.00021278235991485417,0.224
Flooded Grasslands & Savannas,0.00035373540595173836,0.00021217057341709733,0.084
Mangroves,0.0006943964981473982,0.0002812478691630531,0.0
"Mediterranean Forests, Woodlands & Scrub",0.00016947602853178978,9.199517412343994e-05,0.145
Montane Grasslands & Shrublands,0.0005719251930713654,0.00024634421430528165,0.0
Temperate Broadleaf & Mixed Forests,0.0001407111994922161,0.00013599627767689525,0.476
Temperate Conifer Forests,-4.485104000195861e-05,3.5575819376390425e-05,0.845
"Temperate Grasslands, Savannas & Shrublands",0.00010688684415072203,0.00012703140059602448,0.608
Tropical & Subtropical Coniferous Forests,4.8456015065312386e-05,6.414884940022603e-05,0.592
Tropical & Subtropical Dry Broadleaf Forests,0.0004716579569503665,0.00018499354855157436,0.003
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0005767421098425984,0.0003588377258274704,0.001
Tropical & Subtropical Moist Broadleaf Forests,0.0010771664092317224,0.00044721241801744325,0.0
Tundra,0.00047787302173674107,0.000181540681514889,0.002
