model,text,control,n_biomes,mean_delta,n_sig_p05,n_positive,max_delta
SigLIP-2-large,oneliners,residualised,14,0.00041800692997635516,8,12,0.0012972526019439
SigLIP-2-large,oneliners,Spec A,11,0.0011830367032168278,6,11,0.0021888897754251
SigLIP-2-large,abstracts,residualised,14,0.0005777215535219858,12,14,0.001248185406439
SigLIP-2-large,abstracts,Spec A,11,0.0016186912094284728,9,11,0.0028101842617616
OpenCLIP LAION-2B,oneliners,residualised,14,0.0005677589454405138,9,12,0.0021724861580878
OpenCLIP LAION-2B,oneliners,Spec A,11,0.00197576528245748,5,10,0.0044846753589808
OpenCLIP LAION-2B,abstracts,residualised,14,6.888753185713545e-05,5,9,0.000448549631983
OpenCLIP LAION-2B,abstracts,Spec A,11,0.0002528546055228363,1,6,0.000914276111871
CLIP OpenAI,oneliners,residualised,14,0.0002920731369937744,7,13,0.0012527821818366
CLIP OpenAI,oneliners,Spec A,11,0.001222348319887758,5,11,0.0025589985307306
CLIP OpenAI,abstracts,residualised,14,7.156459157288247e-05,6,10,0.0003477525897324
CLIP OpenAI,abstracts,Spec A,11,0.0001897876109895824,4,9,0.00082887429744
