biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Tundra,114,43,504,0.004606325412169099,0.0
Boreal Forests/Taiga,279,78,469,0.004498422145843506,0.0
Temperate Broadleaf & Mixed Forests,308,154,393,0.0035953279584646225,0.0
"Mediterranean Forests, Woodlands & Scrub",292,21,526,0.0033853643108159304,0.0
Deserts & Xeric Shrublands,637,20,527,0.00279768998734653,0.0
Tropical & Subtropical Moist Broadleaf Forests,2314,196,351,0.002298874780535698,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,465,0.0022767807822674513,0.0
Montane Grasslands & Shrublands,413,5,542,0.0016686546587152407,0.225
Tropical & Subtropical Coniferous Forests,64,5,542,0.0004956317134201527,0.357
Temperate Conifer Forests,211,53,494,0.0004890314303338528,0.166
"Temperate Grasslands, Savannas & Shrublands",403,43,504,0.00030321418307721615,0.293
