biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Tundra,114,41,480,0.004613165161572397,0.0
Boreal Forests/Taiga,279,73,448,0.004323787055909634,0.0
"Mediterranean Forests, Woodlands & Scrub",292,20,501,0.0035504723200574517,0.0
Temperate Broadleaf & Mixed Forests,308,143,378,0.0035399431362748146,0.0
Deserts & Xeric Shrublands,637,20,501,0.0027149179950356483,0.001
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,439,0.002205528551712632,0.0
Tropical & Subtropical Moist Broadleaf Forests,2314,188,333,0.0021956515265628695,0.0
Montane Grasslands & Shrublands,413,5,516,0.0017531120538478717,0.198
Temperate Conifer Forests,211,51,470,0.0005038399249315262,0.135
Tropical & Subtropical Coniferous Forests,64,5,516,0.00040709273889660835,0.374
"Temperate Grasslands, Savannas & Shrublands",403,42,479,0.00031641824170947075,0.302
