biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Montane Grasslands & Shrublands,413,5,516,0.0046319620159920305,0.038
Tundra,114,41,480,0.004515819833613932,0.0
Boreal Forests/Taiga,279,73,448,0.0034637590870261192,0.0
Deserts & Xeric Shrublands,637,20,501,0.0032662828889442608,0.003
Temperate Broadleaf & Mixed Forests,308,143,378,0.0021986407227814198,0.0
"Mediterranean Forests, Woodlands & Scrub",292,20,501,0.0020669111981987953,0.019
Tropical & Subtropical Moist Broadleaf Forests,2314,188,333,0.0015695199836045504,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,439,0.001526916865259409,0.008
Temperate Conifer Forests,211,51,470,0.0011359667405486107,0.058
Tropical & Subtropical Coniferous Forests,64,5,516,-0.00016482570208609104,0.557
"Temperate Grasslands, Savannas & Shrublands",403,42,479,-0.000418312381953001,0.667
