biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Deserts & Xeric Shrublands,637,20,527,0.004993555223336443,0.003
Tropical & Subtropical Coniferous Forests,64,5,542,0.004164556972682476,0.129
Tropical & Subtropical Moist Broadleaf Forests,2314,196,351,0.0036488305777311325,0.0
Temperate Broadleaf & Mixed Forests,308,154,393,0.002887273207306862,0.0
"Mediterranean Forests, Woodlands & Scrub",292,21,526,0.0028841053135693073,0.013
Boreal Forests/Taiga,279,78,469,0.0021557710133492947,0.018
Tundra,114,43,504,0.0017460030503571033,0.152
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,465,0.00148433493450284,0.082
Temperate Conifer Forests,211,53,494,6.053224205970764e-05,0.499
"Temperate Grasslands, Savannas & Shrublands",403,43,504,-8.8250613771379e-05,0.515
Montane Grasslands & Shrublands,413,5,542,-0.004514792934060097,0.833
