taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,49,388,0.002810294390656054,0.0
all,Deserts & Xeric Shrublands,3611,16,421,0.0010294558014720678,0.064
all,"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.002770054794382304,0.0
all,Montane Grasslands & Shrublands,1402,5,432,0.0017085670260712504,0.108
all,Temperate Broadleaf & Mixed Forests,5166,116,321,0.0013526948750950396,0.0
all,Temperate Conifer Forests,3334,45,392,0.0009154551662504673,0.076
all,"Temperate Grasslands, Savannas & Shrublands",2954,33,404,-0.000473513500764966,0.83
all,Tropical & Subtropical Coniferous Forests,1085,5,432,-0.0016473438590765,0.924
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.0025412829127162695,0.0
all,Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.0016417766164522618,0.0
all,Tundra,1965,27,410,0.0015774449857417494,0.096
Plantae,Boreal Forests/Taiga,1545,49,388,0.003809620626270771,0.003
Plantae,Deserts & Xeric Shrublands,1250,16,421,0.003542365040630102,0.064
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,16,421,0.007843263854738325,0.0
Plantae,Montane Grasslands & Shrublands,526,5,432,-0.0030709486454725266,0.755
Plantae,Temperate Broadleaf & Mixed Forests,2135,116,321,0.0037508264649659395,0.0
Plantae,Temperate Conifer Forests,1821,45,392,0.0005220873281359673,0.338
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,33,404,-9.401142597198486e-05,0.526
Plantae,Tropical & Subtropical Coniferous Forests,369,5,432,0.0009031696245074272,0.397
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,67,370,-0.0031031807884573936,0.992
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,166,271,-0.0002606576308608055,0.619
Plantae,Tundra,1248,27,410,-0.00019235257059335709,0.542
Fungi,Boreal Forests/Taiga,77,49,388,0.0030276869074441493,0.019
Fungi,Deserts & Xeric Shrublands,8,16,421,0.00017432775348424911,0.457
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,16,421,0.0024527250789105892,0.141
Fungi,Temperate Broadleaf & Mixed Forests,186,116,321,0.0015778704546391964,0.057
Fungi,Temperate Conifer Forests,160,45,392,0.0005568638443946838,0.338
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,33,404,0.0024850661866366863,0.075
Fungi,Tropical & Subtropical Coniferous Forests,26,5,432,-0.00235857255756855,0.705
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,370,-0.003023273777216673,0.991
Fungi,Tropical & Subtropical Moist Broadleaf Forests,93,166,271,0.0009049102663993835,0.198
Fungi,Tundra,62,27,410,-0.0006079939194023609,0.629
Animalia,Boreal Forests/Taiga,10,49,388,0.00030176760628819466,0.449
Animalia,Deserts & Xeric Shrublands,19,16,421,-0.0011259765597060323,0.634
Animalia,"Mediterranean Forests, Woodlands & Scrub",31,16,421,-0.001750828349031508,0.712
Animalia,Temperate Broadleaf & Mixed Forests,30,116,321,-0.0012475065886974335,0.853
Animalia,Temperate Conifer Forests,91,45,392,0.0024054175009950995,0.104
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,33,404,-0.0002147788181900978,0.542
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20,67,370,0.002162435557693243,0.086
Animalia,Tropical & Subtropical Moist Broadleaf Forests,380,166,271,0.0034036785364151,0.009
Animalia,Tundra,19,27,410,0.0023919662926346064,0.2
Mammalia,Boreal Forests/Taiga,115,49,388,-0.002019507810473442,0.855
Mammalia,Deserts & Xeric Shrublands,178,16,421,-0.0010234825313091278,0.61
Mammalia,"Mediterranean Forests, Woodlands & Scrub",47,16,421,-0.002440248616039753,0.765
Mammalia,Montane Grasslands & Shrublands,113,5,432,0.0049159349873661995,0.218
Mammalia,Temperate Broadleaf & Mixed Forests,107,116,321,-0.001292116940021515,0.848
Mammalia,Temperate Conifer Forests,104,45,392,0.0001936536282300949,0.471
Mammalia,"Temperate Grasslands, Savannas & Shrublands",91,33,404,-0.0014198408462107182,0.727
Mammalia,Tropical & Subtropical Coniferous Forests,25,5,432,0.00073234923183918,0.428
Mammalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",603,67,370,0.007194992154836655,0.0
Mammalia,Tropical & Subtropical Moist Broadleaf Forests,602,166,271,0.005674704909324646,0.001
Mammalia,Tundra,124,27,410,0.0011370610445737839,0.371
Aves,Boreal Forests/Taiga,461,49,388,0.001717992126941681,0.158
Aves,Deserts & Xeric Shrublands,1296,16,421,0.0008605851326137781,0.358
Aves,"Mediterranean Forests, Woodlands & Scrub",350,16,421,-0.0016028115642257035,0.729
Aves,Montane Grasslands & Shrublands,483,5,432,0.007353074382990599,0.078
Aves,Temperate Broadleaf & Mixed Forests,1021,116,321,-0.0010881894268095493,0.826
Aves,Temperate Conifer Forests,472,45,392,0.0037801211001351476,0.016
Aves,"Temperate Grasslands, Savannas & Shrublands",839,33,404,-0.00039878208190202713,0.529
Aves,Tropical & Subtropical Coniferous Forests,334,5,432,-0.0048086582974065095,0.858
Aves,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2341,67,370,0.004484331235289574,0.001
Aves,Tropical & Subtropical Moist Broadleaf Forests,3455,166,271,0.0008976650424301624,0.224
