taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,49,388,0.0025583466049283743,0.0
all,Deserts & Xeric Shrublands,3611,16,421,0.0012390583287924528,0.018
all,"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.002263397676870227,0.0
all,Montane Grasslands & Shrublands,1402,5,432,0.002223914139904082,0.03
all,Temperate Broadleaf & Mixed Forests,5166,116,321,0.0012585764052346349,0.0
all,Temperate Conifer Forests,3334,45,392,0.0011707758530974388,0.038
all,"Temperate Grasslands, Savannas & Shrublands",2954,33,404,2.9450166039168835e-05,0.477
all,Tropical & Subtropical Coniferous Forests,1085,5,432,0.0011782967485487461,0.097
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.0023126089945435524,0.0
all,Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.0013550948933698237,0.0
all,Tundra,1965,27,410,0.0010619957465678453,0.191
Plantae,Boreal Forests/Taiga,1545,49,388,0.004046307178214192,0.003
Plantae,Deserts & Xeric Shrublands,1250,16,421,0.001676513347774744,0.227
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,16,421,0.006232443265616894,0.003
Plantae,Montane Grasslands & Shrublands,526,5,432,-0.0022091083228588104,0.671
Plantae,Temperate Broadleaf & Mixed Forests,2135,116,321,0.004158108960837126,0.0
Plantae,Temperate Conifer Forests,1821,45,392,0.0023335888981819153,0.058
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,33,404,0.000898030586540699,0.294
Plantae,Tropical & Subtropical Coniferous Forests,369,5,432,0.0028939349576830864,0.231
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,67,370,-0.004407606087625027,0.999
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,166,271,-0.0012734662741422653,0.889
Plantae,Tundra,1248,27,410,0.000935552641749382,0.311
Fungi,Boreal Forests/Taiga,77,49,388,0.004107192158699036,0.004
Fungi,Deserts & Xeric Shrublands,8,16,421,0.0007276078686118126,0.355
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,16,421,0.0007989350706338882,0.356
Fungi,Temperate Broadleaf & Mixed Forests,186,116,321,0.00216490775346756,0.014
Fungi,Temperate Conifer Forests,160,45,392,0.0020688092336058617,0.079
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,33,404,0.002252904698252678,0.106
Fungi,Tropical & Subtropical Coniferous Forests,26,5,432,0.001840534619987011,0.304
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,370,-0.0030529978685081005,0.994
Fungi,Tropical & Subtropical Moist Broadleaf Forests,93,166,271,0.00031076837331056595,0.394
Fungi,Tundra,62,27,410,0.000236396212130785,0.431
Animalia,Boreal Forests/Taiga,10,49,388,0.0019917418248951435,0.105
Animalia,Deserts & Xeric Shrublands,19,16,421,0.0015786509029567242,0.234
Animalia,"Mediterranean Forests, Woodlands & Scrub",31,16,421,-0.0010141853272216395,0.664
Animalia,Temperate Broadleaf & Mixed Forests,30,116,321,-0.0009039477445185184,0.855
Animalia,Temperate Conifer Forests,91,45,392,-0.00025056267622858286,0.582
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,33,404,-0.000323721207678318,0.593
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20,67,370,0.0021223463118076324,0.068
Animalia,Tropical & Subtropical Moist Broadleaf Forests,380,166,271,0.0012986930087208748,0.107
