taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,41,353,0.0007137153297662735,0.231
all,Deserts & Xeric Shrublands,3611,15,379,0.0003781269770115614,0.327
all,"Mediterranean Forests, Woodlands & Scrub",1863,15,379,0.0005695851577911526,0.288
all,Montane Grasslands & Shrublands,1402,5,389,0.0010951388685498387,0.242
all,Temperate Broadleaf & Mixed Forests,5166,100,294,0.0004799045855179429,0.123
all,Temperate Conifer Forests,3334,39,355,0.0004771875683218241,0.283
all,"Temperate Grasslands, Savannas & Shrublands",2954,32,362,-9.901565499603748e-05,0.558
all,Tropical & Subtropical Coniferous Forests,1085,5,389,0.0004606545116985217,0.358
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,63,331,0.0005179422441869974,0.24
all,Tropical & Subtropical Moist Broadleaf Forests,13907,155,239,0.0007359619485214353,0.021
all,Tundra,1965,22,372,-0.001055943313986063,0.777
Plantae,Boreal Forests/Taiga,1545,41,353,0.000543682835996151,0.404
Plantae,Deserts & Xeric Shrublands,1250,15,379,0.0014367019466590136,0.309
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,15,379,0.0027266532415524125,0.194
Plantae,Montane Grasslands & Shrublands,526,5,389,-0.0032271023374050856,0.705
Plantae,Temperate Broadleaf & Mixed Forests,2135,100,294,0.0003534266725182533,0.402
Plantae,Temperate Conifer Forests,1821,39,355,0.0008817408233880997,0.338
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,32,362,-0.0011426564306020737,0.683
Plantae,Tropical & Subtropical Coniferous Forests,369,5,389,0.00023429153952747583,0.454
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,63,331,-0.0005631746025756001,0.645
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,155,239,0.003414250910282135,0.006
Plantae,Tundra,1248,22,372,-0.005847556050866842,0.987
Fungi,Boreal Forests/Taiga,77,41,353,-0.0011236844584345818,0.726
Fungi,Deserts & Xeric Shrublands,8,15,379,-0.003599548479542136,0.858
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,15,379,-0.002533800434321165,0.794
Fungi,Temperate Broadleaf & Mixed Forests,186,100,294,-0.0013399715535342693,0.868
Fungi,Temperate Conifer Forests,160,39,355,-0.0020944252610206604,0.843
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,32,362,-0.003182255197316408,0.926
Fungi,Tropical & Subtropical Coniferous Forests,26,5,389,0.003964568808441982,0.212
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,63,331,0.0025624727131798863,0.077
Fungi,Tropical & Subtropical Moist Broadleaf Forests,93,155,239,0.006331811659038067,0.0
Fungi,Tundra,62,22,372,-0.004760292824357748,0.968
Animalia,Boreal Forests/Taiga,10,41,353,0.003600014140829444,0.09
Animalia,Deserts & Xeric Shrublands,19,15,379,-0.002223615883849561,0.738
Animalia,"Mediterranean Forests, Woodlands & Scrub",31,15,379,-0.002152804285287857,0.708
Animalia,Temperate Broadleaf & Mixed Forests,30,100,294,-0.0037709805474150926,0.996
Animalia,Temperate Conifer Forests,91,39,355,-0.0006218088965397328,0.62
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,32,362,-0.0014353300211951137,0.696
