taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,68,406,0.0008884351700544357,0.104
all,Deserts & Xeric Shrublands,3611,18,456,0.0009051089873537421,0.115
all,"Mediterranean Forests, Woodlands & Scrub",1863,19,455,0.0029669369687326252,0.0
all,Montane Grasslands & Shrublands,1402,5,469,0.002506570774130523,0.051
all,Temperate Broadleaf & Mixed Forests,5166,132,342,0.0014918881934136152,0.0
all,Temperate Conifer Forests,3334,41,433,-0.0005578636191785336,0.733
all,"Temperate Grasslands, Savannas & Shrublands",2954,38,436,0.00041953439358621836,0.211
all,Tropical & Subtropical Coniferous Forests,1085,5,469,0.0002981256620842032,0.405
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,73,401,0.0024034257512539625,0.0
all,Tropical & Subtropical Moist Broadleaf Forests,13907,172,302,0.0014976731035858393,0.0
all,Tundra,1965,34,440,-0.0008530891500413418,0.752
Plantae,Boreal Forests/Taiga,1545,68,406,-0.00016965297982096672,0.555
Plantae,Deserts & Xeric Shrublands,1250,18,456,0.00045264908112585545,0.383
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,19,455,0.009198129642754793,0.0
Plantae,Montane Grasslands & Shrublands,526,5,469,-0.0010481905192136765,0.586
Plantae,Temperate Broadleaf & Mixed Forests,2135,132,342,0.0051150486106052995,0.0
Plantae,Temperate Conifer Forests,1821,41,433,-0.0016104294918477535,0.84
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,38,436,-0.00011050328612327576,0.534
Plantae,Tropical & Subtropical Coniferous Forests,369,5,469,0.005282767815515399,0.136
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,73,401,-0.0036003213899675757,0.993
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,172,302,0.002909521048422903,0.01
Plantae,Tundra,1248,34,440,-0.005443201400339603,1.0
Fungi,Boreal Forests/Taiga,77,68,406,2.784654498100281e-07,0.477
