taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,73,448,0.002337481200811453,0.0
all,Deserts & Xeric Shrublands,3711,20,501,0.0014140467974357307,0.005
all,"Mediterranean Forests, Woodlands & Scrub",1902,20,501,0.0008365073299501091,0.071
all,Montane Grasslands & Shrublands,1438,5,516,0.005141660221852362,0.0
all,Temperate Broadleaf & Mixed Forests,5309,143,378,0.0006114059069659561,0.008
all,Temperate Conifer Forests,3418,51,470,0.0009343363344669342,0.031
all,"Temperate Grasslands, Savannas & Shrublands",3049,42,479,0.00016125146066769958,0.326
all,Tropical & Subtropical Coniferous Forests,1109,5,516,-0.0006451201625168324,0.783
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,439,0.0011319697368890047,0.001
all,Tropical & Subtropical Moist Broadleaf Forests,14379,188,333,0.0012601634225575253,0.0
all,Tundra,2001,41,480,0.0020452471799217165,0.008
Plantae,Boreal Forests/Taiga,1575,73,448,0.0030680039344588295,0.0
Plantae,Deserts & Xeric Shrublands,1269,20,501,0.002109892899170518,0.116
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,20,501,0.0015794839709997177,0.15
Plantae,Montane Grasslands & Shrublands,531,5,516,0.003205543616786599,0.162
Plantae,Temperate Broadleaf & Mixed Forests,2155,143,378,0.0014095469377934933,0.018
Plantae,Temperate Conifer Forests,1838,51,470,0.0014525665901601315,0.102
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,42,479,0.0011394177563488483,0.138
Plantae,Tropical & Subtropical Coniferous Forests,373,5,516,0.0023984797298908234,0.217
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,439,-0.001223528292030096,0.925
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,188,333,0.0011412822641432285,0.055
Plantae,Tundra,1262,41,480,0.0011308060493320227,0.182
Fungi,Boreal Forests/Taiga,77,73,448,0.002731994361965917,0.002
Fungi,Deserts & Xeric Shrublands,8,20,501,0.0007513603195548058,0.349
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,20,501,-0.001652650535106659,0.835
Fungi,Temperate Broadleaf & Mixed Forests,188,143,378,0.0008894028142094612,0.137
Fungi,Temperate Conifer Forests,161,51,470,0.0009262468665838242,0.225
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,42,479,0.0012322054244577885,0.181
Fungi,Tropical & Subtropical Coniferous Forests,27,5,516,-0.0020821578800678253,0.726
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,439,-0.001271392684429884,0.89
Fungi,Tropical & Subtropical Moist Broadleaf Forests,95,188,333,0.001558817457407713,0.016
Fungi,Tundra,62,41,480,-0.00017737597227096558,0.547
Animalia,Boreal Forests/Taiga,11,73,448,0.0020157690159976482,0.075
Animalia,Deserts & Xeric Shrublands,20,20,501,-0.0007973003666847944,0.648
Animalia,"Mediterranean Forests, Woodlands & Scrub",34,20,501,-0.001373832463286817,0.757
Animalia,Temperate Broadleaf & Mixed Forests,32,143,378,-0.0007498636841773987,0.866
Animalia,Temperate Conifer Forests,97,51,470,0.002085126587189734,0.074
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,42,479,-0.0008987477049231529,0.733
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22,82,439,0.00042732851579785347,0.364
Animalia,Tropical & Subtropical Moist Broadleaf Forests,382,188,333,0.0017786137759685516,0.03
