taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.0021888897754251957,0.0
all,Deserts & Xeric Shrublands,3711,20,527,0.0013358708238229156,0.037
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.001886327809188515,0.013
all,Montane Grasslands & Shrublands,1438,5,542,0.001346149540040642,0.228
all,Temperate Broadleaf & Mixed Forests,5309,154,393,0.001607787260581972,0.0
all,Temperate Conifer Forests,3418,53,494,0.000257197767496109,0.366
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00033596972934901714,0.272
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.0008696371514815837,0.263
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.001011005835607648,0.035
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.0021068813803140074,0.0
all,Tundra,2001,43,504,6.768666207790375e-05,0.487
Plantae,Boreal Forests/Taiga,1575,78,469,0.0010475246235728264,0.209
Plantae,Deserts & Xeric Shrublands,1269,20,527,0.003451394062722102,0.067
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,0.004392712377011776,0.037
Plantae,Montane Grasslands & Shrublands,531,5,542,-0.0026644577737897635,0.715
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,0.0020851888693869114,0.019
Plantae,Temperate Conifer Forests,1838,53,494,-0.0001740623265504837,0.528
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,-0.001121793407946825,0.743
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,0.0008234724373323843,0.384
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,0.0003699439112097025,0.375
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.005460233776830137,0.0
Plantae,Tundra,1262,43,504,-0.003921320661902428,0.987
Fungi,Boreal Forests/Taiga,77,78,469,0.00034275418147444725,0.391
Fungi,Deserts & Xeric Shrublands,8,20,527,-0.0038271332159638405,0.919
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,21,526,-0.0030206809751689434,0.883
Fungi,Temperate Broadleaf & Mixed Forests,188,154,393,0.00015830574557185173,0.43
Fungi,Temperate Conifer Forests,161,53,494,-0.0020809429697692394,0.874
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,43,504,-0.0030020088888704777,0.966
Fungi,Tropical & Subtropical Coniferous Forests,27,5,542,0.0006227189442142844,0.45
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.0038791961851529777,0.003
Fungi,Tropical & Subtropical Moist Broadleaf Forests,95,196,351,0.007637803792022169,0.0
Fungi,Tundra,62,43,504,-0.004351114621385932,0.984
Animalia,Boreal Forests/Taiga,11,78,469,0.00274086237186566,0.08
Animalia,Deserts & Xeric Shrublands,20,20,527,-0.0008156807452905923,0.612
Animalia,"Mediterranean Forests, Woodlands & Scrub",34,21,526,-0.0009364522993564606,0.604
Animalia,Temperate Broadleaf & Mixed Forests,32,154,393,-0.0024816481163725257,0.988
Animalia,Temperate Conifer Forests,97,53,494,0.0029239727882668376,0.07
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,43,504,-0.001967200019862503,0.824
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22,82,465,0.002971810259623453,0.052
Animalia,Tropical & Subtropical Moist Broadleaf Forests,382,196,351,0.003923042211681604,0.002
Animalia,Tundra,20,43,504,0.0029941776301711798,0.131
Mammalia,Boreal Forests/Taiga,116,78,469,0.005814029253087938,0.0
Mammalia,Deserts & Xeric Shrublands,183,20,527,-0.0011746548116207123,0.65
Mammalia,"Mediterranean Forests, Woodlands & Scrub",52,21,526,-0.0007741083391010761,0.583
Mammalia,Montane Grasslands & Shrublands,114,5,542,-0.005019190721213818,0.768
