biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Montane Grasslands & Shrublands,1402,5,432,0.002704158308915794,0.024
Boreal Forests/Taiga,2587,49,388,0.0024689640558790416,0.0
"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.001983093796297908,0.0
Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.0015610552800353616,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.0014734776923432946,0.002
Deserts & Xeric Shrublands,3611,16,421,0.0014370813150890172,0.011
Tundra,1965,27,410,0.0011266263900324702,0.142
Temperate Broadleaf & Mixed Forests,5166,116,321,0.0010895251180045307,0.0
Temperate Conifer Forests,3334,45,392,0.0008859853260219097,0.053
"Temperate Grasslands, Savannas & Shrublands",2954,33,404,0.00037493929266929626,0.224
Tropical & Subtropical Coniferous Forests,1085,5,432,-0.0018509230576455593,0.979
