biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,369,0.0021804829593747854,0.0
"Mediterranean Forests, Woodlands & Scrub",1863,16,420,0.0021772254549432546,0.0
Montane Grasslands & Shrublands,1402,5,431,0.0018467700574547052,0.087
Boreal Forests/Taiga,2587,49,387,0.0018402530695311725,0.009
Temperate Broadleaf & Mixed Forests,5166,116,320,0.001057759112882195,0.0
Tropical & Subtropical Moist Broadleaf Forests,13907,165,271,0.0009193469886668026,0.001
Deserts & Xeric Shrublands,3611,16,420,0.000909188122022897,0.066
Tundra,1965,27,409,0.0006922022148501128,0.294
Tropical & Subtropical Coniferous Forests,1085,5,431,-0.0004678743425756693,0.643
Temperate Conifer Forests,3334,45,391,-0.0005207587964832783,0.777
"Temperate Grasslands, Savannas & Shrublands",2954,33,403,-0.000624684733338654,0.905
