biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.0021489285863935947,0.006
Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.0017728384118527174,0.0
Temperate Broadleaf & Mixed Forests,5309,154,393,0.001610155998605478,0.0
Deserts & Xeric Shrublands,3711,20,527,0.001398664026055485,0.036
Boreal Forests/Taiga,2702,78,469,0.0012214044108986855,0.04
Montane Grasslands & Shrublands,1438,5,542,0.0011940546100959182,0.261
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.0006641142535954714,0.121
"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00037751742638647556,0.251
Tropical & Subtropical Coniferous Forests,1109,5,542,0.0003068961959797889,0.419
Temperate Conifer Forests,3418,53,494,-7.026130333542824e-06,0.503
Tundra,2001,43,504,-0.0009645763784646988,0.8
