biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Tundra,2001,43,504,0.0028101842617616057,0.0
Boreal Forests/Taiga,2702,78,469,0.002612330630654469,0.0
Montane Grasslands & Shrublands,1438,5,542,0.0025280684931203723,0.003
Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.001953615472302772,0.0
"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.0018206787208328024,0.0
Temperate Broadleaf & Mixed Forests,5309,154,393,0.0015228288830257952,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.0012891307706013322,0.0
Deserts & Xeric Shrublands,3711,20,527,0.001163595967227593,0.0
Tropical & Subtropical Coniferous Forests,1109,5,542,0.001083369366824627,0.073
Temperate Conifer Forests,3418,53,494,0.0006598061881959438,0.026
"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00036199454916641116,0.086
