biome,n_imgs,sum_weight_in,delta,p_one_sided
Temperate Broadleaf & Mixed Forests,308,1295.16748046875,0.002082793740555644,0.0
Boreal Forests/Taiga,279,904.91064453125,0.0020147068426012993,0.0
Tundra,114,621.7731323242188,0.0016712035867385566,0.0
"Mediterranean Forests, Woodlands & Scrub",292,786.7235107421875,0.001294827787205577,0.0
Montane Grasslands & Shrublands,413,577.0745849609375,0.0012628846452571452,0.0
Tropical & Subtropical Moist Broadleaf Forests,2314,728.65234375,0.0012469942448660731,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,532.9143676757812,0.0011602400336414576,0.0
Deserts & Xeric Shrublands,637,860.4007568359375,0.0008305578958243132,0.0
Tropical & Subtropical Dry Broadleaf Forests,223,476.327880859375,0.0007068244740366936,0.0
N/A,37,150.54766845703125,0.0005736183375120163,0.063
Temperate Conifer Forests,211,836.0830078125,0.00021638628095388412,0.005
Mangroves,88,192.7472686767578,5.655968561768532e-05,0.403
"Temperate Grasslands, Savannas & Shrublands",403,944.5513305664062,-2.286164090037346e-05,0.597
Tropical & Subtropical Coniferous Forests,64,346.73583984375,-5.75303565710783e-05,0.619
Flooded Grasslands & Savannas,484,423.02117919921875,-0.0007455402665073052,0.998
