biome,n_imgs,sum_weight_in,delta,p_one_sided
Tropical & Subtropical Moist Broadleaf Forests,14379,728.65234375,0.001035203575156629,0.0
Tundra,2001,621.7731323242188,0.0005850121378898621,0.003
Boreal Forests/Taiga,2702,904.91064453125,0.0005540358833968639,0.0
Temperate Broadleaf & Mixed Forests,5309,1295.16748046875,0.0005517530953511596,0.0
Mangroves,250,192.7472686767578,0.0005432309117168188,0.055
Tropical & Subtropical Dry Broadleaf Forests,2304,476.327880859375,0.0005170523654669523,0.0
Deserts & Xeric Shrublands,3711,860.4007568359375,0.0004999763332307339,0.0
Montane Grasslands & Shrublands,1438,577.0745849609375,0.00047603661369066685,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,532.9143676757812,0.0004547096323221922,0.0
"Mediterranean Forests, Woodlands & Scrub",1902,786.7235107421875,0.0004161485703662038,0.0
"Temperate Grasslands, Savannas & Shrublands",3049,944.5513305664062,0.000324299035128206,0.0
Tropical & Subtropical Coniferous Forests,1109,346.73583984375,0.000156113674165681,0.107
Temperate Conifer Forests,3418,836.0830078125,4.46871854364872e-05,0.385
N/A,21,150.54766845703125,-0.00017326648230664432,0.654
Flooded Grasslands & Savannas,550,423.02117919921875,-0.00017669238150119781,0.757
