biome,n_motifs,delta_marg,delta_strat_uniform
Montane Grasslands & Shrublands,798,0.0004218737594783306,0.0010765275219455361
Tropical & Subtropical Moist Broadleaf Forests,1397,0.0007325364276766777,0.000929456960875541
"Tropical & Subtropical Grasslands, Savannas & Shrublands",955,0.0004295909311622381,0.0007573254406452179
Boreal Forests/Taiga,1198,2.7609989047050476e-05,0.0006459727301262319
Deserts & Xeric Shrublands,1287,0.0004631365882232785,0.0006340246764011681
Tropical & Subtropical Dry Broadleaf Forests,750,0.00026964652352035046,0.00043965288205072284
Tundra,834,6.96275383234024e-05,0.0003567519597709179
"Temperate Grasslands, Savannas & Shrublands",1284,0.00017976958770304918,0.0003251070447731763
Flooded Grasslands & Savannas,499,-0.00014316244050860405,0.00029319486930035055
Mangroves,196,1.5095341950654984e-05,0.00023058569058775902
Temperate Broadleaf & Mixed Forests,1585,0.0006068120710551739,0.00019690308545250446
Tropical & Subtropical Coniferous Forests,466,-3.077090877923183e-05,1.582646837050561e-05
"Mediterranean Forests, Woodlands & Scrub",939,0.0005115191452205181,-8.519399125361815e-05
Temperate Conifer Forests,1213,-0.00013931607827544212,-0.00013518820924218744
