biome,delta,p_block
Tropical & Subtropical Moist Broadleaf Forests,0.0007325364276766777,0.0
Temperate Broadleaf & Mixed Forests,0.0006068120710551739,0.0
"Mediterranean Forests, Woodlands & Scrub",0.0005115191452205181,0.0
Deserts & Xeric Shrublands,0.0004631365882232785,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0004295909311622381,0.013
Montane Grasslands & Shrublands,0.0004218737594783306,0.0
Tropical & Subtropical Dry Broadleaf Forests,0.00026964652352035046,0.0
"Temperate Grasslands, Savannas & Shrublands",0.00017976958770304918,0.005
Tundra,6.96275383234024e-05,0.707
Boreal Forests/Taiga,2.7609989047050476e-05,0.77
Mangroves,1.5095341950654984e-05,0.395
Tropical & Subtropical Coniferous Forests,-3.077090877923183e-05,0.5
Temperate Conifer Forests,-0.00013931607827544212,0.981
Flooded Grasslands & Savannas,-0.00014316244050860405,0.448
