biome,word,in_biome_n,discrim_score
Boreal Forests/Taiga,pike,6,7.219966562108323
Boreal Forests/Taiga,shot,3,5.579065070720068
Boreal Forests/Taiga,sleigh,4,5.455085846926289
Boreal Forests/Taiga,adam,3,4.720747367532366
Boreal Forests/Taiga,pursuing,4,4.3066467212575965
Boreal Forests/Taiga,sew,4,4.3066467212575965
Boreal Forests/Taiga,decorates,5,4.091314385194717
Boreal Forests/Taiga,shakes,5,3.7882540603654786
Boreal Forests/Taiga,horsemen,3,3.6099832810541614
Boreal Forests/Taiga,arrived,3,3.6099832810541614
Boreal Forests/Taiga,rolls,3,3.6099832810541614
Boreal Forests/Taiga,grants,8,3.339848477709973
Boreal Forests/Taiga,wolverine,6,3.3172819339416617
Boreal Forests/Taiga,bears,4,3.273051508155773
Boreal Forests/Taiga,dresses,4,3.273051508155773
Boreal Forests/Taiga,artifacts,3,3.2299850409431974
Boreal Forests/Taiga,mitten,3,3.2299850409431974
Boreal Forests/Taiga,eve,6,3.1471649116882436
Boreal Forests/Taiga,crow,3,2.922367417996226
Boreal Forests/Taiga,mammals,3,2.922367417996226
Boreal Forests/Taiga,worthless,3,2.922367417996226
Boreal Forests/Taiga,seemingly,3,2.922367417996226
Boreal Forests/Taiga,tools,6,2.8544053850195694
Boreal Forests/Taiga,inner,4,2.821596127720494
Boreal Forests/Taiga,dough,4,2.821596127720494
Boreal Forests/Taiga,grouse,5,2.7644016116180516
Boreal Forests/Taiga,porcupine,6,2.7275429234631443
Boreal Forests/Taiga,songs,3,2.668248512083511
Boreal Forests/Taiga,middle,4,2.6395576678675594
Boreal Forests/Taiga,fisher,4,2.6395576678675594
Boreal Forests/Taiga,organs,4,2.6395576678675594
Boreal Forests/Taiga,smith,4,2.6395576678675594
Boreal Forests/Taiga,berries,4,2.6395576678675594
Boreal Forests/Taiga,rider,4,2.6395576678675594
Boreal Forests/Taiga,string,5,2.62263742640687
Boreal Forests/Taiga,ferry,6,2.6114772671455637
Boreal Forests/Taiga,roots,6,2.6114772671455637
Boreal Forests/Taiga,loon,7,2.6035636996693654
Boreal Forests/Taiga,whale,8,2.5976599271077565
Boreal Forests/Taiga,cloak,6,2.5048863582824796
Boreal Forests/Taiga,fat,6,2.5048863582824796
Boreal Forests/Taiga,elk,15,2.4947038934114127
Boreal Forests/Taiga,base,4,2.479584475875586
Boreal Forests/Taiga,mistress,12,2.4795844758755856
Boreal Forests/Taiga,tunnel,3,2.4547886311168297
Boreal Forests/Taiga,mourner,3,2.4547886311168297
Boreal Forests/Taiga,soles,3,2.4547886311168297
Boreal Forests/Taiga,squirrel,12,2.43048379318498
Boreal Forests/Taiga,breast,6,2.4066555207027744
Boreal Forests/Taiga,colts,6,2.4066555207027744
Boreal Forests/Taiga,frozen,5,2.3786711541829746
Boreal Forests/Taiga,bell,5,2.3786711541829746
Boreal Forests/Taiga,levels,4,2.337893934396981
Boreal Forests/Taiga,beggar,4,2.337893934396981
Boreal Forests/Taiga,identified,14,2.3283903005173183
Boreal Forests/Taiga,stands,5,2.272952436219287
Boreal Forests/Taiga,swans,3,2.272952436219287
Boreal Forests/Taiga,replace,3,2.272952436219287
Boreal Forests/Taiga,embraced,3,2.272952436219287
Boreal Forests/Taiga,wizard,3,2.272952436219287
Boreal Forests/Taiga,powers,3,2.272952436219287
Boreal Forests/Taiga,crashes,3,2.272952436219287
Boreal Forests/Taiga,lying,3,2.272952436219287
Boreal Forests/Taiga,transparence,3,2.272952436219287
Boreal Forests/Taiga,shaman,9,2.218182497997135
Boreal Forests/Taiga,shoes,9,2.218182497997135
Boreal Forests/Taiga,covering,4,2.211521289294441
Boreal Forests/Taiga,migratory,4,2.211521289294441
Boreal Forests/Taiga,steps,4,2.211521289294441
Boreal Forests/Taiga,scissors,4,2.211521289294441
Boreal Forests/Taiga,provokes,10,2.1996313898896327
Boreal Forests/Taiga,places,8,2.1820343387705154
Boreal Forests/Taiga,handle,5,2.1762310559546365
Boreal Forests/Taiga,bitch,5,2.1762310559546365
Boreal Forests/Taiga,holding,3,2.116197095790371
Boreal Forests/Taiga,lack,3,2.116197095790371
Boreal Forests/Taiga,sweetest,3,2.116197095790371
