tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
1.0,Abaza (Abazins),44.20000076293945,42.0,"Temperate Grasslands, Savannas & Shrublands",Pontic steppe,0.5,3059,50
2.0,Abkhaz,43.15993881225586,40.64619064331055,Temperate Broadleaf & Mixed Forests,Caucasus mixed forests,0.5,13173,50
3.0,Aceh,5.300000190734863,95.5999984741211,Tropical & Subtropical Moist Broadleaf Forests,Sumatran lowland rain forests,0.5,456,50
4.0,Ache,-25.0,-55.5,Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,1.0,15151,50
5.0,Achomavi,40.68373107910156,-121.45580291748048,Temperate Conifer Forests,Central-Southern Cascades Forests,0.5,41656,50
6.0,"Acoli,Alur,Lango",2.700000047683716,32.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Victoria Basin forest-savanna,0.5,151,50
7.0,Aguaruna,-5.0,-78.5,Tropical & Subtropical Moist Broadleaf Forests,Eastern Cordillera Real montane forests,0.5,465,50
8.0,Aimara,-17.256929397583008,-68.6484375,Montane Grasslands & Shrublands,Central Andean dry puna,0.5,503,50
9.0,Ainu,43.0,143.0,Temperate Broadleaf & Mixed Forests,Hokkaido deciduous forests,0.5,802,50
10.0,"Aka,Baka a.o.Western Pygmies",2.0,17.0,Tropical & Subtropical Moist Broadleaf Forests,Western Congolian swamp forests,0.5,74,50
11.0,"Akan,Ashanti,Akwapim,Tvi",6.5,-1.5,Tropical & Subtropical Moist Broadleaf Forests,Eastern Guinean forests,0.5,2498,50
12.0,Akawai,7.0,-60.0,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests,0.5,77,50
13.0,"Akkad,Assyria,Babylon",33.0,44.0,Deserts & Xeric Shrublands,North Arabian desert,0.5,752,50
14.0,Akuriyo,3.200000047683716,-55.400001525878906,Tropical & Subtropical Moist Broadleaf Forests,Guianan lowland moist forests,0.5,405,50
15.0,"Alabama,Koasati",32.0,-87.0,"Temperate Grasslands, Savannas & Shrublands",Southeast US conifer savannas,0.5,10513,50
16.0,Albanians,41.5,20.0,"Mediterranean Forests, Woodlands & Scrub",Pindus Mountains mixed forests,0.5,5719,50
17.0,Alsea,44.5,-123.9000015258789,Temperate Conifer Forests,Central Pacific Northwest coastal forests,0.5,112562,50
18.0,Aleut,53.61074066162109,-166.44039916992188,Tundra,Aleutian Islands tundra,0.5,2420,50
19.0,Algeria Arabs,33.84000015258789,4.109379768371582,"Mediterranean Forests, Woodlands & Scrub",Mediterranean dry woodlands and steppe,1.0,1144,50
20.0,Algonkian proper,47.0,-77.0,Temperate Broadleaf & Mixed Forests,Eastern Canadian Forest-Boreal transition,0.5,657,50
21.0,"Alor, Solor",-8.300000190734863,124.0,Tropical & Subtropical Dry Broadleaf Forests,Lesser Sundas deciduous forests,0.5,2217,50
22.0,"Cashinahua,Mayoruna",-8.0,-72.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests,0.5,2182,50
23.0,Amhara,11.5,38.0,Montane Grasslands & Shrublands,Ethiopian montane grasslands and woodlands,0.5,109,50
24.0,Ami,23.399999618530277,121.3499984741211,Tropical & Subtropical Moist Broadleaf Forests,Taiwan subtropical evergreen forests,0.5,105075,50
25.0,Amuesha,-9.5,-75.5,Tropical & Subtropical Moist Broadleaf Forests,Peruvian Yungas,0.5,703,50
26.0,Anambe,-5.0,-51.5,Tropical & Subtropical Moist Broadleaf Forests,Xingu-Tocantins-Araguaia moist forests,1.0,76,50
27.0,Turks,38.0,34.0,Temperate Broadleaf & Mixed Forests,Central Anatolian steppe and woodlands,0.5,1925,50
28.0,Ancient Egypt,27.5,30.700000762939453,Deserts & Xeric Shrublands,East Sahara Desert,1.0,330,50
29.0,Ancient Greece,37.5,24.0,"Mediterranean Forests, Woodlands & Scrub",Aegean and Western Turkey sclerophyllous and mixed forests,0.5,34368,50
30.0,Ancient Italy,42.0,13.5,Temperate Broadleaf & Mixed Forests,Appenine deciduous montane forests,0.5,29373,50
31.0,Andaman,12.0,92.5,Tropical & Subtropical Moist Broadleaf Forests,Andaman Islands rain forests,0.5,8096,50
32.0,Andoque,-0.5,-73.5,Tropical & Subtropical Moist Broadleaf Forests,Purus várzea,1.0,105,50
33.0,Apinaye,-6.0,-48.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Cerrado,0.5,97,50
