biome,delta_obs,n_imgs,null_mean,null_std,p_image_shuffle
Tropical & Subtropical Coniferous Forests,0.003600679337978363,1109,0.003515470540151,4.3353702494641766e-05,0.02
Tropical & Subtropical Moist Broadleaf Forests,0.0034257136285305023,14379,0.0021732025779783726,1.7371095964335836e-05,0.0
Montane Grasslands & Shrublands,0.0024967752397060394,1438,0.0020609532948583364,4.1842129576252773e-05,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0020022988319396973,5633,0.0015285885892808437,2.2711117708240636e-05,0.0
Mangroves,0.0019136518239974976,250,0.001566895516589284,0.0001646028395043686,0.02
Tropical & Subtropical Dry Broadleaf Forests,0.001289505511522293,2304,0.0006650458090007305,3.6081590224057436e-05,0.0
Deserts & Xeric Shrublands,0.0002377144992351532,3711,-0.00027819161186926067,3.5270182706881315e-05,0.0
Temperate Broadleaf & Mixed Forests,-5.584210157394409e-05,5309,-0.0006803732831031084,3.202003426849842e-05,0.0
Boreal Forests/Taiga,-0.00021313130855560303,2702,-0.000510671001393348,4.001505658379756e-05,0.0
"Temperate Grasslands, Savannas & Shrublands",-0.0007082819938659668,3049,-0.0010709230555221438,2.7446430976851843e-05,0.0
Tundra,-0.0013975687325000763,2001,-0.0012974045239388943,4.712511145044118e-05,0.98
"Mediterranean Forests, Woodlands & Scrub",-0.0014385022222995758,1902,-0.0018494331743568182,3.9922808355186135e-05,0.0
Temperate Conifer Forests,-0.0017820782959461212,3418,-0.0018745034467428923,2.9279364753165282e-05,0.0
Flooded Grasslands & Savannas,-0.001928728073835373,550,-0.0016129863215610385,8.978003461379558e-05,1.0
N/A,-0.005014732480049133,21,-0.003940292168408632,0.0005384963587857783,0.975
