biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",1902,20,501,0.0016256365342997015,0.009
Boreal Forests/Taiga,2702,73,448,0.0012564450735226274,0.038
Temperate Conifer Forests,3418,51,470,0.0009322920814156532,0.139
Tropical & Subtropical Moist Broadleaf Forests,14379,188,333,0.0008977976976893842,0.0
Tropical & Subtropical Coniferous Forests,1109,5,516,0.0008200154406949878,0.282
Montane Grasslands & Shrublands,1438,5,516,0.0007905438123998465,0.323
Deserts & Xeric Shrublands,3711,20,501,0.0005989251658320427,0.189
Temperate Broadleaf & Mixed Forests,5309,143,378,0.0004873808939009905,0.073
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,439,1.8115388229489326e-05,0.476
"Temperate Grasslands, Savannas & Shrublands",3049,42,479,-6.561167538166046e-06,0.511
Tundra,2001,41,480,-0.0015937564894557,0.914
