text,control,image,n_biomes,mean_delta,n_sig_p05,n_fdr_q05,n_positive,max_delta
Oneliners default,residualised,iNat,14,0.00041800692997635516,8,8,12,0.0012972526019439
Oneliners default,residualised,YFCC-flt,14,0.0008659468190411621,10,10,10,0.0024432120844721
Oneliners default,Spec A,iNat,11,0.0011830367032168278,6,4,11,0.0021888897754251
Oneliners default,Spec A,YFCC-flt,11,0.0021326940358531543,6,6,9,0.0049942408222705
Oneliners hyp v2,residualised,iNat,14,0.0003118856038781429,8,8,12,0.0010763825848698
Oneliners hyp v2,residualised,YFCC-flt,14,0.0008161908606000499,9,9,11,0.0025867372751235
Oneliners hyp v2,Spec A,iNat,11,0.0008839064919149871,5,3,9,0.0021489285863935
Oneliners hyp v2,Spec A,YFCC-flt,11,0.0013732239577537908,6,6,8,0.0050189957255497
Oneliners hyp v3,residualised,iNat,14,0.0002321307238162045,6,6,10,0.0009702665265649
Oneliners hyp v3,residualised,YFCC-flt,14,0.0006081685008081703,8,8,11,0.0021445360034704
Oneliners hyp v3,Spec A,iNat,11,0.0005188785655344092,3,3,7,0.0018327060970477
Oneliners hyp v3,Spec A,YFCC-flt,11,0.001246814153008982,6,6,8,0.0043496897560544
Abstracts default,residualised,iNat,14,0.0005777215535219858,12,12,14,0.001248185406439
Abstracts default,residualised,YFCC-flt,14,0.0008403375478727089,10,10,11,0.0023604510352015
Abstracts default,Spec A,iNat,11,0.0016186912094284728,9,9,11,0.0028101842617616
Abstracts default,Spec A,YFCC-flt,11,0.0024013924875444367,7,7,11,0.004606325412169
Abstracts hyp v2,residualised,iNat,14,0.0002240372881974877,7,7,12,0.0006509270751848
Abstracts hyp v2,residualised,YFCC-flt,14,0.00041452213606261496,9,9,12,0.0010925740934908
Abstracts hyp v2,Spec A,iNat,11,0.0013754653589123547,8,8,10,0.0051367239793762
Abstracts hyp v2,Spec A,YFCC-flt,11,0.0021520256784490275,8,8,9,0.0043984806688968
Abstracts hyp v3,residualised,iNat,14,0.00021812173093035053,7,7,12,0.0006340477848425
Abstracts hyp v3,residualised,YFCC-flt,14,0.00041659121468127765,9,9,12,0.0011015839409083
Abstracts hyp v3,Spec A,iNat,11,0.0013454716265021364,8,8,10,0.005108977551572
Abstracts hyp v3,Spec A,YFCC-flt,11,0.0021131027698918638,7,7,9,0.0044528336293296
