word_en,class_en,word_ru,class_ru
,,береза,дерево
,,берёз,дерево
,,берёза,дерево
,,берёзам,дерево
,,берёзами,дерево
,,берёзах,дерево
,,берёзе,дерево
,,берёзой,дерево
,,берёзу,дерево
,,берёзы,дерево
,,сосен,дерево
,,сосна,дерево
,,соснам,дерево
,,соснами,дерево
,,соснах,дерево
,,сосне,дерево
,,сосной,дерево
,,сосну,дерево
,,сосны,дерево
,,елей,дерево
,,ели,дерево
,,ель,дерево
,,елью,дерево
,,елям,дерево
,,елями,дерево
,,елях,дерево
,,осин,дерево
,,осина,дерево
,,осинам,дерево
,,осинами,дерево
,,осинах,дерево
,,осине,дерево
,,осиной,дерево
,,осину,дерево
,,осины,дерево
,,ив,дерево
,,ива,дерево
,,ивам,дерево
,,ивами,дерево
,,ивах,дерево
,,иве,дерево
,,ивой,дерево
,,иву,дерево
,,ивы,дерево
,,лиственниц,дерево
,,лиственницей,дерево
,,верб,дерево
,,верба,дерево
,,вербам,дерево
,,вербами,дерево
,,вербах,дерево
,,вербе,дерево
,,вербой,дерево
,,вербу,дерево
,,вербы,дерево
,,тальник,дерево
,,тальника,дерево
,,тальникам,дерево
,,тальниками,дерево
,,тальниках,дерево
,,тальнике,дерево
,,тальники,дерево
,,тальников,дерево
,,тальником,дерево
,,тальнику,дерево
,,пихт,дерево
,,тополе,дерево
,,тополей,дерево
,,тополем,дерево
,,тополь,дерево
,,тополю,дерево
,,тополя,дерево
,,тополям,дерево
,,тополями,дерево
,,тополях,дерево
,,бук,дерево
,,бука,дерево
,,букам,дерево
,,буками,дерево
,,буках,дерево
,,буке,дерево
,,буки,дерево
,,буков,дерево
,,буком,дерево
,,буку,дерево
,,ольх,дерево
,,ольха,дерево
,,ольхам,дерево
,,ольхами,дерево
,,ольхах,дерево
,,ольхе,дерево
,,ольхи,дерево
,,ольхой,дерево
,,ольху,дерево
,,вяз,дерево
,,вязли,дерево
,,вязнувшего,дерево
,,вязнувшем,дерево
,,вязнувшему,дерево
,,вязнувшие,дерево
,,вязнувший,дерево
,,вязнувшим,дерево
,,вязнувшими,дерево
,,вязнувших,дерево
,,ясене,дерево
,,ясеням,дерево
,,ясенями,дерево
,,ясенях,дерево
,,клен,дерево
,,клён,дерево
,,клёна,дерево
,,клёнам,дерево
,,клёнами,дерево
,,клёнах,дерево
,,клёне,дерево
,,клёнов,дерево
