motif_id,keep_in_filtered
a1,False
a10,True
a11a,True
a11b,True
a11c,True
a12,False
a12a,True
a12b,True
a12c,True
a12d,True
a12e,True
a12f,True
a13a,False
a13a1,False
a13b,True
a14,True
a15,True
a16,False
a17,True
a18,True
a19a,True
a19b,True
a20,True
a21,False
a22,True
a22a,True
a22b,True
a22c,True
a22d,True
a23,False
a23a,False
a23b,True
a23c,True
a24,False
a24a,False
a25,True
a26,True
a27,False
a29,False
a29a,False
a29b,True
a2a,False
a2b,False
a2b1,False
a2c,False
a2d,True
a3,False
a30,True
a31,True
a31a,True
a32,True
a32a,True
a32b,False
a32c,True
a32c1,True
a32d,False
a32d1,True
a32dd,True
a32e,True
a32f,False
a32g,True
a32h,True
a32i,True
a32j,True
a32k,True
a33,True
a34,True
a35,True
a35a,True
a35b,True
a35c,True
a36,True
a37,False
a37a,False
a37b,False
a38,False
a38a,True
a38b,False
a38c,True
a38d,True
a39,True
a4,False
a40,True
a41,True
a42,True
a43,True
a43a,True
a44,False
a45,True
a46,True
a47,False
a4a,True
a4b,True
a5,False
a5a,True
a6,True
a7,True
a7a,True
a8,True
a8a,False
a9,True
b1,True
b10,True
b100,True
b101,False
b102,True
b103,True
b104,True
b104a,True
b105,True
b106,True
b107,True
b108,False
b109,False
b109a,True
b110,False
b110a,False
b111,True
b112,True
b113,False
b114,False
b115,True
b115a,True
b116,False
b116a,False
b116b,False
b117,True
b118,True
b11a,True
b13a,False
b14,True
b15,False
b16a,True
b16b,True
b16c,False
b17,True
b18,False
b19,True
b1a,True
b1b,True
b1c,True
b1d,True
b20,True
b21,True
b22,True
b22a,True
b23,True
b24,True
b24a,True
b25,True
b26,False
b27,True
b28,False
b28a,True
b28b,True
b28c,True
b28d,False
b28d1,False
b28e,False
b29,True
b2a,False
b2b,True
b2c,True
b2d,False
b2e,False
b2f,True
b2g,True
b3,False
b30a,True
b30b,True
b31,True
b32,False
b33,False
b33a,True
b33a1,True
b33b,True
b33c,True
b33d,True
