motif_id,keep_in_filtered
a1,True
a10,True
a11a,True
a11b,True
a11c,True
a12,True
a12a,True
a12b,True
a12c,True
a12d,True
a12e,True
a12f,True
a13a,True
a13a1,True
a13b,True
a14,True
a15,True
a16,True
a17,True
a18,True
a19a,True
a19b,True
a20,True
a21,True
a22,True
a22a,True
a22b,True
a22c,True
a22d,True
a23,True
a23a,True
a23b,True
a23c,True
a24,True
a24a,True
a25,True
a26,True
a27,True
a29,True
a29a,True
a29b,True
a2a,True
a2b,True
a2b1,True
a2c,True
a2d,True
a3,True
a30,True
a31,True
a31a,True
a32,True
a32a,True
a32b,True
a32c,True
a32c1,True
a32d,True
a32d1,True
a32dd,True
a32e,True
a32f,True
a32g,True
a32h,True
a32i,True
a32j,True
a32k,True
a33,True
a34,True
a35,True
a35a,True
a35b,True
a35c,True
a36,True
a37,True
a37a,True
a37b,True
a38,True
a38a,True
a38b,True
a38c,True
a38d,True
a39,True
a4,True
a40,True
a41,True
a42,True
a43,True
a43a,True
a44,True
a45,True
a46,True
a47,True
a4a,True
a4b,True
a5,True
a5a,True
a6,True
a7,True
a7a,True
a8,True
a8a,True
a9,True
b1,True
b10,True
b100,True
b101,True
b102,True
b103,True
b104,True
b104a,True
b105,True
b106,True
b107,True
b108,False
b109,True
b109a,True
b110,True
b110a,False
b111,True
b112,True
b113,True
b114,True
b115,True
b115a,True
b116,True
b116a,True
b116b,True
b117,True
b118,True
b11a,True
b13a,True
b14,True
b15,True
b16a,True
b16b,True
b16c,True
b17,True
b18,True
b19,True
b1a,True
b1b,True
b1c,True
b1d,True
b20,True
b21,True
b22,True
b22a,True
b23,True
b24,True
b24a,True
b25,True
b26,True
b27,True
b28,True
b28a,True
b28b,True
b28c,True
b28d,True
b28d1,True
b28e,True
b29,True
b2a,True
b2b,True
b2c,True
b2d,True
b2e,True
b2f,True
b2g,True
b3,False
b30a,True
b30b,True
b31,True
b32,True
b33,True
b33a,True
b33a1,True
b33b,True
b33c,True
b33d,True
b33e,False
b33f,True
b33g,True
b34,True
b35,True
b35a,True
b36,True
b36a,True
b36b,True
b36c,True
b37,True
b38,True
b38a,True
b38b,True
b38c,True
b38d,True
b38e,True
b39,True
b3a,True
b3b,True
b3c,True
b3d,True
b3e,True
b4,True
b40,True
b40a,True
b40b,True
b41,True
b41a,True
b42,True
b42a,True
b42b,True
b42c,True
b42d,True
b42e,True
b42f,True
b42h,True
b42h1,True
b42i,True
b42k,True
b42l,True
b42m,True
b42m1,True
b42m2,True
b42mn,True
b42n,True
b42o,True
b42o1,True
b42p,True
b42q,True
b42r,True
b42s,True
b42t,True
b43,True
b44a,True
b44b,True
b44c,True
b44d,True
b44e,True
b44f,True
b45,True
b45b,True
b46,True
b46a,True
b46a1,True
b46c,True
b46d,True
b47,True
b47a,True
b48,True
b48a,True
b48b,True
b48c,True
b48d,True
b49,True
b49a,True
b49b,True
b50,True
b51,True
b51a,True
b52a,True
b52b,True
b52c,True
b53,True
b54,True
b55,True
b56,True
b57,True
b57a,True
b58,True
b59,True
b5a,True
b5b,True
b5c,True
b6,True
b60,True
b61,True
b62,True
b63,True
b64,True
b64a,True
b64b,True
b64c,True
b64d,True
b65,True
b66,True
b67,True
b68,True
b68a,True
b69,True
b69a,True
b69b,True
b6a,True
b70,True
b71,True
b72,True
b72a,True
b72b,True
b73,True
b73a,True
b73b,True
b74,True
b74a,True
b74b,True
b75a,True
b75b,True
b75c,True
b75d,True
b76,True
b77,True
b77a,True
b77b,True
b77b1,True
b77b2,True
b77c,True
b78,False
b79,True
b79a,True
b79a1,True
b7a,True
b7b,True
b7c,True
b7d,True
b8,True
b80,True
b81,True
b82,True
b83,True
b84,True
b85,True
b85a,True
b85b,True
b86,True
b87,True
b87a,True
b87b,True
b87c,True
b88,True
b89,True
b9,True
b90,True
b91,True
b92,True
b93,True
b93a,True
b94,True
b95,True
b96,True
b97,True
b97a,True
b98,True
