word,n_mentions
ru:степи (steppe),367
ru:пустыне (desert),361
ru:степь (steppe),292
ru:пустыню (desert),236
ru:степные (steppe),143
ru:тундру (tundra),84
ru:тундровые (tundra),84
ru:тундре (tundra),75
ru:тайге (taiga (boreal forest)),72
ru:пустыни (desert),69
ru:саванну (savanna),62
ru:ярангу (yaranga (tundra dwelling)),61
ru:тайгу (taiga (boreal forest)),58
ru:пустыня (desert),48
ru:тайги (taiga (boreal forest)),48
ru:яранге (yaranga (tundra dwelling)),43
ru:саванна (savanna),39
ru:саванне (savanna),36
ru:степной (steppe),34
ru:яранги (yaranga (tundra dwelling)),30
en:ice,29
ru:тундра (tundra),28
ru:саванны (savanna),22
en:snow,20
ru:прерии (prairie),19
ru:леднике (glacier),18
en:canoe,17
ru:тайга (taiga (boreal forest)),17
ru:тундры (tundra),15
ru:степная (steppe),15
ru:ледник (glacier),12
ru:саваннах (savanna),12
ru:тундровый (tundra),11
ru:пустынь (desert),11
ru:яранга (yaranga (tundra dwelling)),11
ru:ледника (glacier),10
ru:джунгли (jungle),10
ru:мерзлоты (permafrost),8
en:frozen,8
ru:ледников (glacier),7
ru:пустынной (desert),7
ru:степного (steppe),7
ru:пустынным (desert),6
ru:арктика (Arctic),6
ru:пустынный (desert),5
ru:джунглях (jungle),5
ru:тайгой (taiga (boreal forest)),5
ru:прерию (prairie),5
ru:мангры (mangrove),4
ru:айсбергом (iceberg),4
ru:прерия (prairie),4
en:frost,4
ru:степью (steppe),3
ru:арктический (Arctic),3
ru:тундровых (tundra),3
en:sand,3
en:palm,3
ru:айсберга (iceberg),3
ru:средиземноморье (Mediterranean),3
ru:ледником (glacier),3
en:swamp,2
ru:саванн (savanna),2
ru:ледники (glacier),2
en:bamboo,2
ru:пампас (pampas),2
en:coconut,2
ru:степную (steppe),2
ru:степях (steppe),2
ru:тундровая (tundra),2
ru:степей (steppe),2
en:banana,2
ru:мангрового (mangrove),1
ru:мерзлота (permafrost),1
en:freeze,1
ru:пустынная (desert),1
en:marsh,1
en:tropical,1
ru:тропические (tropics/tropical),1
ru:арктике (Arctic),1
ru:пустынное (desert),1
ru:айсбергу (iceberg),1
ru:тундрам (tundra),1
ru:тропическая (tropics/tropical),1
ru:тундрой (tundra),1
ru:средиземноморский (Mediterranean),1
en:frosty,1
ru:таежный (taiga (boreal forest)),1
ru:степным (steppe),1
en:desert,1
ru:таежные (taiga (boreal forest)),1
