word,hypernym
action,act
adam,Adam
adult,animal
advice,proposal
advices,proposal
african,person
age,property
alligator,crocodilian reptile
american,inhabitant
amount,assets
amulets,charm
ancestor,relative
antagonists,person
anteater,placental
ants,hymenopterous insect
anus,orifice
apple,apple tree
approaching,movement
aquatic,plant
argument,evidence
armadillo,edentate
armpits,cavity
arrows,mark
artifacts,whole
ashes,tree
aside,actor's line
attire,clothing
aurora,atmospheric phenomenon
axes,stalk
bad,quality
bag,container
bait,temptation
balance,equilibrium
barrel,tube
base,military installation
basin,natural depression
basket,container
baskets,container
bastard,unpleasant person
bath,vessel
beads,string
beaks,mouth
beard,facial hair
bears,carnivore
beasts,organism
beats,nonconformist
beauty,woman
beaver,American
bed,natural depression
bee,hymenopterous insect
bees,hymenopterous insect
beggar,pauper
begins,Begin
behavior,activity
bell,acoustic device
belt,loop
bench,tableland
berries,edible fruit
bitch,canine
bite,wound
blade,leaf
blames,accusation
blanket,covering
blow,wind
blows,wind
blue,chromatic color
bluff,bank
boil,staphylococcal infection
bone,connective tissue
bonfire,fire
border,boundary
bowels,center
boyfriend,man
brains,intellectual
breast,external body part
bride,newlywed
bridge,structure
broom,shrub
brushwood,wood
buffalo,bison
burial,funeral
burn,pain
burning,change of integrity
butt,victim
buys,purchase
cage,enclosure
caiman,crocodilian reptile
cain,Cain
call,telephone
calls,telephone
canoe,small boat
canoes,small boat
cardinal,finch
carrion,body
cases,person
cat,feline
cataclysm,geological phenomenon
catches,adult
cause,origin
cave,geological formation
cereals,grass
chamber,enclosure
chameleon,lizard
charge,electrical phenomenon
chase,motion
chicken,domestic fowl
chickens,domestic fowl
chimney,flue
chipmunk,squirrel
chips,potato
clay,body
clear,innocence
climbing,rise
cloak,covering
close,end
closing,motion
clot,ball
coal,fossil fuel
coals,fossil fuel
cock,chicken
coffin,box
collapses,illness
colts,foal
coming,motion
community,gathering
competition,contestant
condition,state
conflagration,fire
confrontation,challenge
consequence,phenomenon
contact,representative
container,instrumentality
context,discourse
copper,lycaenid
copulation,sexual activity
cornel,angiospermous tree
count,Lord
covering,natural object
coyote,wolf
cradle,baby bed
crashes,noise
crawls,motion
crest,line
cripple,person
crocodile,crocodilian reptile
crossroad,junction
crow,corvine bird
crying,bodily process
cuckoo,cuculiform bird
cup,plant organ
cycle,time interval
dam,female
dancing,diversion
dare,challenge
dark,illumination
darkness,illumination
data,collection
days,life
deceit,dishonesty
deed,legal document
defect,imperfection
deity,spiritual being
deluge,rain
den,habitation
desires,feeling
details,information
devils,troublemaker
dimensions,magnitude
disc,sound recording
disguise,semblance
distance,spacing
diving,match
doe,placental
dolls,girl
domestic,servant
donkey,ass
door,movable barrier
dough,concoction
dove,pigeon
drags,resistance
draws,gully
dream,imagination
dresses,woman's clothing
drink,body of water
drives,propulsion
drum,sciaenid fish
drunk,drinker
duck,anseriform bird
ducks,anseriform bird
dummy,mute
dung,fecal matter
dwarfs,small person
dwelling,housing
eager,tidal flow
earthquakes,geological phenomenon
eater,consumer
echo,reflection
eclipse,interruption
eclipses,interruption
eel,soft-finned fish
elder,shrub
