word,hypernym
adult,animal
alligator,crocodilian reptile
amazons,parrot
animal,organism
animals,organism
ant,hymenopterous insect
anteater,placental
ants,hymenopterous insect
apple,apple tree
apples,apple tree
aquatic,plant
armadillo,edentate
ashes,tree
babies,fetus
baby,fetus
bat,placental
bear,carnivore
bears,carnivore
beast,organism
beasts,organism
bee,hymenopterous insect
bees,hymenopterous insect
bird,vertebrate
birds,vertebrate
bitch,canine
box,shrub
broom,shrub
buffalo,bison
bull,cattle
bush,woody plant
caiman,crocodilian reptile
calf,young mammal
camel,even-toed ungulate
cardinal,finch
cat,feline
cattle,bovine
cereals,grass
chameleon,lizard
chicken,domestic fowl
chickens,domestic fowl
chipmunk,squirrel
cock,chicken
colts,foal
copper,lycaenid
cornel,angiospermous tree
cow,cattle
cows,bovine
coyote,wolf
crab,decapod crustacean
crane,wading bird
creature,organism
creatures,organism
crocodile,crocodilian reptile
crops,plant
crow,corvine bird
cuckoo,cuculiform bird
dam,female
deer,ruminant
dipper,duck
diver,gaviiform seabird
doe,placental
does,placental
dog,canine
dogs,canine
donkey,ass
dove,pigeon
dragon,agamid
drum,sciaenid fish
duck,anseriform bird
ducks,anseriform bird
eagles,bird of prey
eel,soft-finned fish
elder,shrub
elephant,pachyderm
elk,deer
embryos,plant
entire,male horse
escape,plant
escapes,plant
feline,carnivore
female,animal
females,animal
fish,aquatic vertebrate
fisher,marten
fishes,aquatic vertebrate
flea,insect
fleas,insect
flies,dipterous insect
flower,angiosperm
flowers,angiosperm
fly,dipterous insect
fowl,gallinaceous bird
fox,canine
foxes,canine
frog,amphibian
frogs,amphibian
game,animal
geese,anseriform bird
giant,animal
giants,animal
goat,bovid
goose,anseriform bird
gourd,vine
grass,gramineous plant
grasshopper,orthopterous insect
grouse,game bird
gum,tree
hare,leporid
hawk,bird of prey
head,domestic animal
heads,domestic animal
hedgehog,rodent
hen,chicken
heron,wading bird
horse,equine
horses,equine
human,hominid
humanity,group
humans,group
hyena,canine
insect,arthropod
insects,arthropod
jackal,canine
jaguar,big cat
kids,goat
layers,hen
leopard,big cat
lice,insect
lion,big cat
lizard,saurian
loon,gaviiform seabird
louse,insect
male,animal
males,animal
mammal,vertebrate
mammals,vertebrate
man,hominid
mare,horse
marrow,summer squash
may,hawthorn
melon,gourd
men,hominid
mice,rodent
mole,insectivore
monkey,primate
monster,fetus
monsters,fetus
mosquitoes,dipterous insect
mouse,rodent
nestling,young bird
nestlings,young bird
opossum,marsupial
owl,bird of prey
oyster,bivalve
palm,tree
parakeet,parrot
parrot,bird
partridge,game bird
pet,animal
pets,animal
pig,swine
pigs,swine
pike,percoid fish
plant,organism
plants,organism
porcupine,rodent
predator,animal
predators,animal
prey,animal
puma,wildcat
pumpkin,squash
pup,young mammal
puppies,pup
puppy,pup
queen,insect
rabbit,leporid
racoon,procyonid
ram,sheep
rams,sheep
rat,rodent
raven,corvine bird
reed,gramineous plant
reeds,gramineous plant
reptile,vertebrate
reptiles,vertebrate
rhea,ratite
rose,shrub
rushes,marsh plant
serpent,diapsid
sheep,bovid
simple,herb
sitter,hen
skunk,musteline mammal
snail,gastropod
snake,diapsid
snakes,diapsid
spider,arachnid
squirrel,rodent
stag,red deer
swallow,oscine
swallows,oscine
swan,aquatic bird
swans,aquatic bird
tapir,odd-toed ungulate
tiger,big cat
toad,amphibian
tortoise,turtle
tree,woody plant
trees,woody plant
turtle,chelonian
ungulate,placental
vine,vascular plant
vines,vascular plant
vulture,bird of prey
vultures,bird of prey
wasp,hymenopterous insect
whale,cetacean
wheat,cereal
wolf,canine
wolverine,musteline mammal
wolves,canine
woodpecker,piciform bird
worm,invertebrate
worms,invertebrate
young,animal
