word_en,class_en,word_ru,class_ru,hypernym_en,hypernym_ru
adult,animal,взрослый,животное,,
adult,animal,взрослого,животное,,
adult,animal,взрослому,животное,,
adult,animal,взрослым,животное,,
adult,animal,взрослые,животное,,
adult,animal,взрослых,животное,,
alligator,reptile,аллигатор,животное,,
alligator,reptile,аллигатора,животное,,
alligator,reptile,аллигатору,животное,,
alligator,reptile,аллигатором,животное,,
alligator,reptile,аллигаторы,животное,,
alligator,reptile,аллигаторов,животное,,
amazons,bird,амазон,животное,,
amazons,bird,амазона,животное,,
amazons,bird,амазоны,животное,,
amazons,bird,амазонов,животное,,
animals,animal,животные,животное,,
animals,animal,животных,животное,,
animals,animal,животным,животное,,
animals,animal,животными,животное,,
ant,insect,муравей,животное,,
ant,insect,муравья,животное,,
ant,insect,муравью,животное,,
ant,insect,муравьём,животное,,
ant,insect,муравье,животное,,
anteater,mammal,муравьед,животное,,
anteater,mammal,муравьеда,животное,,
anteater,mammal,муравьеду,животное,,
anteater,mammal,муравьедом,животное,,
anteater,mammal,муравьеды,животное,,
anteater,mammal,муравьедов,животное,,
ants,insect,муравьи,животное,,
ants,insect,муравьёв,животное,,
ants,insect,муравьям,животное,,
ants,insect,муравьями,животное,,
apple,tree,яблоко,дерево,,
apple,tree,яблока,дерево,,
apple,tree,яблоку,дерево,,
apple,tree,яблоком,дерево,,
apple,tree,яблоке,дерево,,
apples,tree,яблоки,дерево,,
apples,tree,яблок,дерево,,
apples,tree,яблокам,дерево,,
apples,tree,яблоками,дерево,,
aquatic,plant,водный,растение,,
aquatic,plant,водного,растение,,
aquatic,plant,водные,растение,,
aquatic,plant,водных,растение,,
armadillo,mammal,броненосец,животное,,
armadillo,mammal,броненосца,животное,,
armadillo,mammal,броненосцу,животное,,
armadillo,mammal,броненосцем,животное,,
armadillo,mammal,броненосцы,животное,,
armadillo,mammal,броненосцев,животное,,
ashes,tree,ясень,дерево,,
ashes,tree,ясеня,дерево,,
ashes,tree,ясеню,дерево,,
ashes,tree,ясенем,дерево,,
ashes,tree,ясени,дерево,,
ashes,tree,ясеней,дерево,,
babies,animal,младенцы,животное,,
babies,animal,младенцев,животное,,
babies,animal,младенцам,животное,,
babies,animal,детёныши,животное,,
babies,animal,детёнышей,животное,,
baby,animal,младенец,животное,,
baby,animal,младенца,животное,,
baby,animal,младенцу,животное,,
baby,animal,детёныш,животное,,
baby,animal,детёныша,животное,,
bat,mammal,летучая мышь,животное,,
bat,mammal,летучей мыши,животное,,
bat,mammal,летучую мышь,животное,,
bat,mammal,летучие мыши,животное,,
bear,mammal,медведь,животное,,
bear,mammal,медведя,животное,,
bear,mammal,медведю,животное,,
bear,mammal,медведем,животное,,
bear,mammal,медведе,животное,,
bears,mammal,медведи,животное,,
bears,mammal,медведей,животное,,
bears,mammal,медведям,животное,,
bears,mammal,медведями,животное,,
beast,animal,зверь,животное,,
beast,animal,зверя,животное,,
beast,animal,зверю,животное,,
beast,animal,зверем,животное,,
beast,animal,звере,животное,,
beasts,animal,звери,животное,,
beasts,animal,зверей,животное,,
beasts,animal,зверям,животное,,
beasts,animal,зверями,животное,,
bee,insect,пчела,животное,,
bee,insect,пчелы,животное,,
bee,insect,пчеле,животное,,
bee,insect,пчелу,животное,,
bee,insect,пчелой,животное,,
bees,insect,пчёлы,животное,,
bees,insect,пчёл,животное,,
bees,insect,пчёлам,животное,,
bees,insect,пчёлами,животное,,
birds,bird,птицы,животное,,
birds,bird,птиц,животное,,
birds,bird,птицам,животное,,
birds,bird,птицами,животное,,
birds,bird,птицах,животное,,
bitch,mammal,сука,животное,,
bitch,mammal,суки,животное,,
bitch,mammal,суке,животное,,
bitch,mammal,суку,животное,,
bitch,mammal,сукой,животное,,
box,plant,самшит,растение,,
box,plant,самшита,растение,,
box,plant,самшиту,растение,,
box,plant,самшитом,растение,,
broom,plant,метла,растение,,
broom,plant,метлы,растение,,
broom,plant,метле,растение,,
broom,plant,метлу,растение,,
broom,plant,метлой,растение,,
buffalo,mammal,буйвол,животное,,
buffalo,mammal,буйвола,животное,,
buffalo,mammal,буйволу,животное,,
buffalo,mammal,буйволом,животное,,
buffalo,mammal,буйволы,животное,,
buffalo,mammal,буйволов,животное,,
bull,mammal,бык,животное,,
bull,mammal,быка,животное,,
bull,mammal,быку,животное,,
bull,mammal,быком,животное,,
bull,mammal,быке,животное,,
bush,plant,куст,растение,,
bush,plant,куста,растение,,
bush,plant,кусту,растение,,
bush,plant,кустом,растение,,
bush,plant,кусте,растение,,
bush,plant,кусты,растение,,
caiman,reptile,кайман,животное,,
caiman,reptile,каймана,животное,,
caiman,reptile,кайману,животное,,
caiman,reptile,кайманом,животное,,
caiman,reptile,кайманы,животное,,
caiman,reptile,кайманов,животное,,
calf,animal,телёнок,животное,,
calf,animal,телёнка,животное,,
calf,animal,телёнку,животное,,
calf,animal,телёнком,животное,,
calf,animal,телята,животное,,
camel,mammal,верблюд,животное,,
camel,mammal,верблюда,животное,,
camel,mammal,верблюду,животное,,
camel,mammal,верблюдом,животное,,
camel,mammal,верблюды,животное,,
camel,mammal,верблюдов,животное,,
cardinal,bird,кардинал,животное,,
cardinal,bird,кардинала,животное,,
cardinal,bird,кардиналу,животное,,
cardinal,bird,кардиналом,животное,,
cardinal,bird,кардиналы,животное,,
cat,mammal,кот,животное,,
cat,mammal,кота,животное,,
cat,mammal,коту,животное,,
cat,mammal,котом,животное,,
cat,mammal,коте,животное,,
cat,mammal,кошка,животное,,
cat,mammal,кошки,животное,,
cat,mammal,кошке,животное,,
cat,mammal,кошку,животное,,
cattle,mammal,скот,животное,,
cattle,mammal,скота,животное,,
cattle,mammal,скоту,животное,,
cattle,mammal,скотом,животное,,
cattle,mammal,скоте,животное,,
cereals,plant,злак,растение,,
cereals,plant,злака,растение,,
cereals,plant,злаки,растение,,
cereals,plant,злаков,растение,,
cereals,plant,злакам,растение,,
chameleon,reptile,хамелеон,животное,,
chameleon,reptile,хамелеона,животное,,
chameleon,reptile,хамелеону,животное,,
chameleon,reptile,хамелеоном,животное,,
chameleon,reptile,хамелеоны,животное,,
chameleon,reptile,хамелеонов,животное,,
chicken,bird,курица,животное,,
chicken,bird,курицы,животное,,
chicken,bird,курице,животное,,
chicken,bird,курицу,животное,,
