word,class
adult,animal
alligator,animal
amazons,animal
animals,animal
ant,animal
anteater,animal
ants,animal
apple,tree
apples,tree
aquatic,plant
armadillo,animal
ashes,tree
babies,animal
baby,animal
bat,animal
bear,animal
bears,animal
beast,animal
beasts,animal
bee,animal
bees,animal
birds,animal
bitch,animal
box,plant
broom,plant
buffalo,animal
bull,animal
bush,plant
caiman,animal
calf,animal
camel,animal
cardinal,animal
cat,animal
cattle,animal
cereals,plant
chameleon,animal
chicken,animal
chickens,animal
chipmunk,animal
cock,animal
colts,animal
copper,animal
cornel,tree
cow,animal
cows,animal
coyote,animal
crab,animal
crane,animal
creature,animal
creatures,animal
crocodile,animal
crops,plant
crow,animal
cuckoo,animal
dam,animal
deer,animal
dipper,animal
diver,animal
doe,animal
does,animal
dog,animal
dogs,animal
donkey,animal
dove,animal
dragon,animal
drum,animal
duck,animal
ducks,animal
eagles,animal
eel,animal
elder,plant
elephant,animal
elk,animal
embryos,plant
entire,animal
escape,plant
escapes,plant
feline,animal
female,animal
females,animal
fisher,animal
fishes,animal
flea,animal
fleas,animal
flies,animal
flowers,flower
fly,animal
fowl,animal
fox,animal
foxes,animal
frog,animal
frogs,animal
game,animal
geese,animal
giant,animal
giants,animal
goat,animal
goose,animal
gourd,plant
grass,plant
grasshopper,animal
grouse,animal
gum,tree
hare,animal
hawk,animal
head,animal
heads,animal
hedgehog,animal
hen,animal
heron,animal
horse,animal
horses,animal
human,animal
humanity,animal
humans,animal
hyena,animal
insects,animal
jackal,animal
jaguar,animal
kids,animal
layers,animal
leopard,animal
lice,animal
lion,animal
lizard,animal
loon,animal
louse,animal
male,animal
males,animal
mammals,animal
man,animal
mare,animal
marrow,plant
may,plant
melon,plant
men,animal
mice,animal
mole,animal
monkey,animal
monster,animal
monsters,animal
mosquitoes,animal
mouse,animal
nestling,animal
nestlings,animal
opossum,animal
owl,animal
oyster,animal
palm,tree
parakeet,animal
parrot,animal
partridge,animal
pet,animal
pets,animal
pig,animal
pigs,animal
pike,animal
plants,plant
porcupine,animal
predator,animal
predators,animal
prey,animal
puma,animal
pumpkin,plant
pup,animal
puppies,animal
puppy,animal
queen,animal
rabbit,animal
racoon,animal
ram,animal
rams,animal
rat,animal
raven,animal
reed,plant
reeds,plant
reptiles,animal
rhea,animal
rose,plant
rushes,plant
serpent,animal
sheep,animal
simple,plant
sitter,animal
skunk,animal
snail,animal
snake,animal
snakes,animal
spider,animal
squirrel,animal
stag,animal
swallow,animal
swallows,animal
swan,animal
swans,animal
tapir,animal
tiger,animal
toad,animal
tortoise,animal
trees,tree
turtle,animal
ungulate,animal
vine,plant
vines,plant
vulture,animal
vultures,animal
wasp,animal
whale,animal
wheat,plant
wolf,animal
wolverine,animal
wolves,animal
woodpecker,animal
worms,animal
young,animal
worm,animal
arachnid,animal
reptile,animal
amphibian,animal
mammal,animal
bird,animal
fish,animal
crustacean,animal
mollusk,animal
insect,animal
