biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Deserts & Xeric Shrublands,637,20,527,0.004349689756054431,0.008
Temperate Broadleaf & Mixed Forests,308,154,393,0.003808794543147087,0.0
Tundra,114,43,504,0.003240713384002447,0.009
Tropical & Subtropical Moist Broadleaf Forests,2314,196,351,0.0032055028714239597,0.0
"Mediterranean Forests, Woodlands & Scrub",292,21,526,0.0031777271069586277,0.007
Boreal Forests/Taiga,279,78,469,0.0024232043651863933,0.008
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,465,0.0010856103617697954,0.116
Tropical & Subtropical Coniferous Forests,64,5,542,0.0010193808702751994,0.392
Temperate Conifer Forests,211,53,494,-0.0001664985902607441,0.549
"Temperate Grasslands, Savannas & Shrublands",403,43,504,-0.0010380961757618934,0.75
Montane Grasslands & Shrublands,413,5,542,-0.0073910728096961975,0.927
