taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,49,387,0.0018402530695311725,0.009
all,Deserts & Xeric Shrublands,3611,16,420,0.000909188122022897,0.066
all,"Mediterranean Forests, Woodlands & Scrub",1863,16,420,0.0021772254549432546,0.0
all,Montane Grasslands & Shrublands,1402,5,431,0.0018467700574547052,0.087
all,Temperate Broadleaf & Mixed Forests,5166,116,320,0.001057759112882195,0.0
all,Temperate Conifer Forests,3334,45,391,-0.0005207587964832783,0.777
all,"Temperate Grasslands, Savannas & Shrublands",2954,33,403,-0.000624684733338654,0.905
all,Tropical & Subtropical Coniferous Forests,1085,5,431,-0.0004678743425756693,0.643
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,369,0.0021804829593747854,0.0
all,Tropical & Subtropical Moist Broadleaf Forests,13907,165,271,0.0009193469886668026,0.001
all,Tundra,1965,27,409,0.0006922022148501128,0.294
Plantae,Boreal Forests/Taiga,1545,49,387,0.002264064736664295,0.065
Plantae,Deserts & Xeric Shrublands,1250,16,420,0.003670775331556797,0.062
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,16,420,0.007993005448952317,0.002
Plantae,Montane Grasslands & Shrublands,526,5,431,-0.0014190087094902992,0.642
Plantae,Temperate Broadleaf & Mixed Forests,2135,116,320,0.0033629643730819225,0.0
Plantae,Temperate Conifer Forests,1821,45,391,-0.0021134279668331146,0.926
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,33,403,0.00011968053877353668,0.465
Plantae,Tropical & Subtropical Coniferous Forests,369,5,431,0.0030627744272351265,0.222
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,67,369,-0.002384459599852562,0.963
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,165,271,-8.31950455904007e-05,0.537
Plantae,Tundra,1248,27,409,-0.0015541352331638336,0.806
Fungi,Boreal Forests/Taiga,77,49,387,0.0009862927254289389,0.241
Fungi,Deserts & Xeric Shrublands,8,16,420,0.0014540692791342735,0.241
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,16,420,0.0022286991588771343,0.145
Fungi,Temperate Broadleaf & Mixed Forests,186,116,320,0.0018875915557146072,0.031
Fungi,Temperate Conifer Forests,160,45,391,-0.0012344596907496452,0.78
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,33,403,0.0015227682888507843,0.175
Fungi,Tropical & Subtropical Coniferous Forests,26,5,431,0.0019013239070773125,0.332
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,369,-0.0016113892197608948,0.886
