taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,41,353,0.0019154115580022335,0.019
all,Deserts & Xeric Shrublands,3611,15,379,0.0005982945440337062,0.23
all,"Mediterranean Forests, Woodlands & Scrub",1863,15,379,0.0029903584509156644,0.0
all,Montane Grasslands & Shrublands,1402,5,389,0.001895442430395633,0.119
all,Temperate Broadleaf & Mixed Forests,5166,100,294,0.001962507318239659,0.0
all,Temperate Conifer Forests,3334,39,355,-0.0010474487207829952,0.887
all,"Temperate Grasslands, Savannas & Shrublands",2954,32,362,0.0005371571751311421,0.149
all,Tropical & Subtropical Coniferous Forests,1085,5,389,0.0015045724139781669,0.122
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,63,331,0.0027725750114768744,0.0
all,Tropical & Subtropical Moist Broadleaf Forests,13907,155,239,0.0013789659133180976,0.0
all,Tundra,1965,22,372,-0.00034594442695379257,0.574
Plantae,Boreal Forests/Taiga,1545,41,353,0.0018514767289161682,0.147
Plantae,Deserts & Xeric Shrublands,1250,15,379,-0.001712411642074585,0.7
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,15,379,0.007902852958068252,0.003
Plantae,Montane Grasslands & Shrublands,526,5,389,-0.002527437638491392,0.679
Plantae,Temperate Broadleaf & Mixed Forests,2135,100,294,0.005498746410012245,0.0
Plantae,Temperate Conifer Forests,1821,39,355,-0.002720208838582039,0.907
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,32,362,0.0013119415380060673,0.258
Plantae,Tropical & Subtropical Coniferous Forests,369,5,389,0.006837149849161506,0.088
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,63,331,-0.003411238663829863,0.988
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,155,239,0.002588872564956546,0.013
Plantae,Tundra,1248,22,372,-0.0046762763522565365,0.968
Fungi,Boreal Forests/Taiga,77,41,353,0.0009138472378253937,0.315
Fungi,Deserts & Xeric Shrublands,8,15,379,-0.0022065966622903943,0.786
