taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.0012214044108986855,0.04
all,Deserts & Xeric Shrublands,3711,20,527,0.001398664026055485,0.036
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.0021489285863935947,0.006
all,Montane Grasslands & Shrublands,1438,5,542,0.0011940546100959182,0.261
all,Temperate Broadleaf & Mixed Forests,5309,154,393,0.001610155998605478,0.0
all,Temperate Conifer Forests,3418,53,494,-7.026130333542824e-06,0.503
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00037751742638647556,0.251
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.0003068961959797889,0.419
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.0006641142535954714,0.121
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.0017728384118527174,0.0
all,Tundra,2001,43,504,-0.0009645763784646988,0.8
Plantae,Boreal Forests/Taiga,1575,78,469,0.0002390025183558464,0.425
Plantae,Deserts & Xeric Shrublands,1269,20,527,0.00386669032741338,0.062
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,0.00423132034484297,0.043
Plantae,Montane Grasslands & Shrublands,531,5,542,-0.002316234866157174,0.687
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,0.0032278712606057525,0.003
Plantae,Temperate Conifer Forests,1838,53,494,-9.679608047008514e-05,0.5
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,-0.000725411344319582,0.656
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,0.00020859780488535762,0.446
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,0.0004618321545422077,0.355
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.0037670349120162427,0.0
Plantae,Tundra,1262,43,504,-0.006346488371491432,1.0
Fungi,Boreal Forests/Taiga,77,78,469,-0.0015873806551098824,0.857
Fungi,Deserts & Xeric Shrublands,8,20,527,-0.001127979252487421,0.663
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,21,526,-0.0013244417496025562,0.665
Fungi,Temperate Broadleaf & Mixed Forests,188,154,393,0.0014345929957926273,0.083
Fungi,Temperate Conifer Forests,161,53,494,-0.0026587978936731815,0.922
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,43,504,-0.003773513250052929,0.988
Fungi,Tropical & Subtropical Coniferous Forests,27,5,542,0.002310636395122856,0.32
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.003989046519563999,0.006
Fungi,Tropical & Subtropical Moist Broadleaf Forests,95,196,351,0.006554086692631245,0.0
Fungi,Tundra,62,43,504,-0.00530920852907002,0.998
Animalia,Boreal Forests/Taiga,11,78,469,0.0022695838124491274,0.138
Animalia,Deserts & Xeric Shrublands,20,20,527,-0.0015486929078178946,0.682
Animalia,"Mediterranean Forests, Woodlands & Scrub",34,21,526,0.0006474758265540004,0.393
Animalia,Temperate Broadleaf & Mixed Forests,32,154,393,-0.0015684552490711212,0.88
Animalia,Temperate Conifer Forests,97,53,494,-0.0007079962770148995,0.608
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,43,504,-0.0021885274327360094,0.815
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22,82,465,0.003005606064107269,0.059
Animalia,Tropical & Subtropical Moist Broadleaf Forests,382,196,351,0.0038946198765188456,0.004
Animalia,Tundra,20,43,504,0.0018701795488595963,0.256
Mammalia,Boreal Forests/Taiga,116,78,469,0.0025424839404877275,0.07
Mammalia,Deserts & Xeric Shrublands,183,20,527,-0.0002451909240335226,0.515
Mammalia,"Mediterranean Forests, Woodlands & Scrub",52,21,526,0.0033324509859085083,0.143
Mammalia,Montane Grasslands & Shrublands,114,5,542,-0.00632707733893767,0.809
