taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2702,78,469,0.000706071499735117,0.163
all,Deserts & Xeric Shrublands,3711,20,527,0.0008666744688525796,0.147
all,"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.001832706097047776,0.008
all,Montane Grasslands & Shrublands,1438,5,542,-0.0006582487840205431,0.627
all,Temperate Broadleaf & Mixed Forests,5309,154,393,0.0012974424330423062,0.0
all,Temperate Conifer Forests,3418,53,494,-0.00036011869087815285,0.692
all,"Temperate Grasslands, Savannas & Shrublands",3049,43,504,-0.00018628500401973724,0.645
all,Tropical & Subtropical Coniferous Forests,1109,5,542,0.00026192646400624575,0.419
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,-0.0002940468257293105,0.723
all,Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.0016009421087801456,0.0
all,Tundra,2001,43,504,0.0006406004540622234,0.303
Plantae,Boreal Forests/Taiga,1575,78,469,-0.0013959254138171673,0.848
Plantae,Deserts & Xeric Shrublands,1269,20,527,0.0012090035452274606,0.324
Plantae,"Mediterranean Forests, Woodlands & Scrub",835,21,526,0.0033909319899976254,0.09
Plantae,Montane Grasslands & Shrublands,531,5,542,0.001489055110141635,0.367
Plantae,Temperate Broadleaf & Mixed Forests,2155,154,393,0.0016214167699217796,0.081
Plantae,Temperate Conifer Forests,1838,53,494,-0.0011297338642179966,0.732
Plantae,"Temperate Grasslands, Savannas & Shrublands",1186,43,504,-0.002060461090877652,0.879
Plantae,Tropical & Subtropical Coniferous Forests,373,5,542,0.0008879552478902042,0.403
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1073,82,465,0.0006664922693744302,0.319
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2781,196,351,0.004570274356410664,0.0
Plantae,Tundra,1262,43,504,-0.003169795498251915,0.952
Fungi,Boreal Forests/Taiga,77,78,469,-0.0020407901611179113,0.91
Fungi,Deserts & Xeric Shrublands,8,20,527,-0.0023973179049789906,0.776
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,21,526,-0.0033265906386077404,0.896
Fungi,Temperate Broadleaf & Mixed Forests,188,154,393,-0.00030779652297496796,0.609
Fungi,Temperate Conifer Forests,161,53,494,-0.0022877694573253393,0.889
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,43,504,-0.00015525787603110075,0.513
Fungi,Tropical & Subtropical Coniferous Forests,27,5,542,0.008347794791916385,0.064
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.005431583849713206,0.002
Fungi,Tropical & Subtropical Moist Broadleaf Forests,95,196,351,0.006749976892024279,0.0
Fungi,Tundra,62,43,504,-0.002523542440030724,0.907
Animalia,Boreal Forests/Taiga,11,78,469,0.001868035993538797,0.185
Animalia,Deserts & Xeric Shrublands,20,20,527,-0.0004986569983884692,0.548
Animalia,"Mediterranean Forests, Woodlands & Scrub",34,21,526,-0.0009173025900963694,0.577
Animalia,Temperate Broadleaf & Mixed Forests,32,154,393,-0.0027173166163265705,0.969
Animalia,Temperate Conifer Forests,97,53,494,0.0008557147812098265,0.354
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,43,504,0.0013946988619863987,0.312
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22,82,465,0.0027677121106535196,0.098
Animalia,Tropical & Subtropical Moist Broadleaf Forests,382,196,351,0.004347141948528588,0.003
Animalia,Tundra,20,43,504,0.002922147534263786,0.163
Mammalia,Boreal Forests/Taiga,116,78,469,0.005600708769634366,0.0
Mammalia,Deserts & Xeric Shrublands,183,20,527,0.001483196159824729,0.311
Mammalia,"Mediterranean Forests, Woodlands & Scrub",52,21,526,0.003858108539134264,0.084
Mammalia,Montane Grasslands & Shrublands,114,5,542,-0.004019528190838173,0.701
Mammalia,Temperate Broadleaf & Mixed Forests,111,154,393,0.0020521292462944984,0.04
Mammalia,Temperate Conifer Forests,111,53,494,-0.0008136637043207884,0.652
Mammalia,"Temperate Grasslands, Savannas & Shrublands",97,43,504,0.0006438065320253372,0.385
Mammalia,Tropical & Subtropical Coniferous Forests,28,5,542,0.00147915817797184,0.352
Mammalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",635,82,465,0.0008854605257511139,0.295
