biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Boreal Forests/Taiga,2587,49,388,0.0025583466049283743,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.0023126089945435524,0.0
"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.002263397676870227,0.0
Montane Grasslands & Shrublands,1402,5,432,0.002223914139904082,0.03
Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.0013550948933698237,0.0
Temperate Broadleaf & Mixed Forests,5166,116,321,0.0012585764052346349,0.0
Deserts & Xeric Shrublands,3611,16,421,0.0012390583287924528,0.018
Tropical & Subtropical Coniferous Forests,1085,5,432,0.0011782967485487461,0.097
Temperate Conifer Forests,3334,45,392,0.0011707758530974388,0.038
Tundra,1965,27,410,0.0010619957465678453,0.191
"Temperate Grasslands, Savannas & Shrublands",2954,33,404,2.9450166039168835e-05,0.477
