biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.0027904686867259443,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.002733298111706972,0.0
Boreal Forests/Taiga,2587,49,388,0.0020104970317333937,0.0
Montane Grasslands & Shrublands,1402,5,432,0.0016853157430887222,0.105
Temperate Broadleaf & Mixed Forests,5166,116,321,0.0013397550792433321,0.0
Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.001216489530634135,0.0
Tundra,1965,27,410,0.0011090041771240067,0.174
Deserts & Xeric Shrublands,3611,16,421,0.0009399242699146271,0.077
Temperate Conifer Forests,3334,45,392,0.000193682499229908,0.357
"Temperate Grasslands, Savannas & Shrublands",2954,33,404,-0.000790345249697566,0.933
Tropical & Subtropical Coniferous Forests,1085,5,432,-0.0008841694798320532,0.773
