biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",1863,15,379,0.0029903584509156644,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,63,331,0.0027725750114768744,0.0
Temperate Broadleaf & Mixed Forests,5166,100,294,0.001962507318239659,0.0
Boreal Forests/Taiga,2587,41,353,0.0019154115580022335,0.019
Montane Grasslands & Shrublands,1402,5,389,0.001895442430395633,0.119
Tropical & Subtropical Coniferous Forests,1085,5,389,0.0015045724139781669,0.122
Tropical & Subtropical Moist Broadleaf Forests,13907,155,239,0.0013789659133180976,0.0
Deserts & Xeric Shrublands,3611,15,379,0.0005982945440337062,0.23
"Temperate Grasslands, Savannas & Shrublands",2954,32,362,0.0005371571751311421,0.149
Tundra,1965,22,372,-0.00034594442695379257,0.574
Temperate Conifer Forests,3334,39,355,-0.0010474487207829952,0.887
