biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Boreal Forests/Taiga,2587,73,448,0.002355984295718372,0.001
Tropical & Subtropical Moist Broadleaf Forests,13907,188,333,0.0019590536830946803,0.0
"Mediterranean Forests, Woodlands & Scrub",1863,20,501,0.0018590991385281086,0.008
Montane Grasslands & Shrublands,1402,5,516,0.0014766903477720916,0.217
Deserts & Xeric Shrublands,3611,20,501,0.0013854531571269035,0.035
Temperate Broadleaf & Mixed Forests,5166,143,378,0.001359914822387509,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,82,439,0.0009230247233062983,0.057
Tropical & Subtropical Coniferous Forests,1085,5,516,0.0008458560041617602,0.271
Tundra,1965,41,480,0.0005142204463481903,0.31
"Temperate Grasslands, Savannas & Shrublands",2954,42,479,0.0004387925728224218,0.223
Temperate Conifer Forests,3334,51,470,0.0003443665336817503,0.344
