biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Montane Grasslands & Shrublands,1438,5,542,0.005108977551572025,0.0
Boreal Forests/Taiga,2702,78,469,0.0022789149443269707,0.0
Tundra,2001,43,504,0.0018728142022155225,0.009
Deserts & Xeric Shrublands,3711,20,527,0.0013558873906731606,0.011
Tropical & Subtropical Moist Broadleaf Forests,14379,196,351,0.0012666189431911334,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,465,0.0012370743788778782,0.0
Temperate Conifer Forests,3418,53,494,0.0009844258893281221,0.028
Temperate Broadleaf & Mixed Forests,5309,154,393,0.0006258487410377711,0.005
"Mediterranean Forests, Woodlands & Scrub",1902,21,526,0.000594508252106607,0.15
"Temperate Grasslands, Savannas & Shrublands",3049,43,504,0.00010972662130370736,0.371
Tropical & Subtropical Coniferous Forests,1109,5,542,-0.0006346090231090784,0.765
